P006 第二课-故事的要素2.2
[00:04:30.662–00:04:37.036] 用咱们之前第一节课说过的那个术语说，就是观众跟谁有共情。
[00:04:38.758–00:04:41.644] 这样明白了吧？这个人就是主角。
[00:04:43.046–00:04:56.908] 咱们在这个举例的线性故事里面啊，咱们现在讲这个故事，讲讲这个线性故事里面，我们先暂定就一个主角，好吧，不去搞乱事件啊，这个好理解了，就是你这个故事。
[00:04:58.054–00:05:01.900] 主要发生了个什么事儿，主要解决了个什么问题。
[00:05:07.878–00:05:08.684] 主题。
[00:05:09.574–00:05:10.540] 就是你这个。
[00:05:12.134–00:05:12.780] 故事。
[00:05:14.310–00:05:15.436] 体现了价值观。
[00:05:15.974–00:05:17.228] 体现了作者的价值观。
[00:05:17.734–00:05:24.524] 在这里我再强调一下这个价值观非常重要。为什么这个价值观一定要使正能量？
[00:05:30.182–00:05:30.828] 要是正得量。
[00:05:32.294–00:05:33.132] 我跟你们说。
[00:05:35.814–00:05:42.284] 这三个字一写出来，很多人会抢，老师，你是不是党员啊，你怎么突然给我们讲这个。
[00:05:42.886–00:05:46.252] 我告诉你们，我在刚入行的时候也特别叛逆。
[00:05:46.758–00:05:50.028] 我也老有一股不服劲的精神，我会想哎，哎。
[00:05:50.918–00:05:53.100] 一个故事凭什么一定要正能量？
[00:05:53.830–00:06:08.524] 能量是宇宙动，宇宙存在的能量，它就有正的，有负的，有斜的，有横的对吧？每一种能量都有各自的精彩嘛。我当时也是这么想的，但是后来我发现啊。
[00:06:10.438–00:06:17.644] 不是这么理解的不是这么理解的这个正能量正能量这个价值观。我给你们举个例子啊。
[00:06:18.502–00:06:19.244] 比如说。
[00:06:19.782–00:06:20.556] 主角。
[00:06:21.734–00:06:22.604] 假设啊。
[00:06:23.174–00:06:27.660] 是那个那个那个那个一个大侠，一个侠客，对吧？
[00:06:28.646–00:06:30.572] 一个哎大侠的侠怎么写？
[00:06:32.934–00:06:34.956] 哎，不管了啊，一个侠客。
[00:06:35.814–00:06:40.172] 那个他与那个有个什么事儿呢？报仇。
[00:06:41.926–00:06:44.492] 比较容易理解是吧？报仇。
[00:06:46.278–00:06:46.892] 最后。
[00:06:47.686–00:06:49.452] 那体现一个什么主题呢？
[00:06:49.926–00:06:51.596] 比如说他报酬。
[00:06:52.582–00:06:55.372] 他要去办的这个人跟他有私仇。
[00:06:55.974–00:06:58.892] 就是说对于他来说是个坏人。
[00:06:59.622–00:07:02.060] 但是比如说对于一个国家或者民族来说。
[00:07:02.662–00:07:03.820] 那可能是个英雄。
[00:07:04.614–00:07:05.900] 或者是个忠臣。
[00:07:07.014–00:07:08.332] 然后他放弃了报酬。
[00:07:09.702–00:07:10.604] 那是什么意思呢？
[00:07:11.654–00:07:13.932] 就是最后的价值观就是。
[00:07:14.598–00:07:16.588] 就是就是这个丝绸。
[00:07:19.430–00:07:20.524] 这个小鱼。
[00:07:21.190–00:07:29.580] 这个这个大意对吧？这就是体现出来的价值观。他放下了他放下了这丑这个仇恨。
[00:07:30.086–00:07:32.652] 呃，原谅了别人，也解脱了自己。
[00:07:33.254–00:07:34.220] 就是正能量。
[00:07:36.166–00:07:36.556] 正能量。
[00:07:39.846–00:07:41.580] 每一个故事都需要是正能量。
[00:07:42.182–00:07:48.172] 否则观众会在主题上费解，因为为什么？因为这个价值观你这个主题啊，你最后不是喊出来的。
[00:07:50.054–00:07:53.452] 你是这个这个这个这个这个主角做出来的。
[00:07:57.062–00:08:02.476] 那关于这个正能量，我待会儿再细个那细再细说好吧，我们接着往下说。
[00:08:03.974–00:08:04.716] 主角。
[00:08:07.014–00:08:08.236] 也就是这个人物。
[00:08:14.054–00:08:15.404] 啊，我们接着往下看啊。
[00:08:17.958–00:08:18.796] 人物。
[00:08:21.318–00:08:26.604] 我们说这三个要素，我们把它细细分一下，看看会出现什么样的效果。
[00:08:27.142–00:08:27.980] 人物。
[00:08:28.870–00:08:34.316] 我们说这个侠客，比如说还是这个侠客，你光说一个侠客啊，有点担保了。
[00:08:35.110–00:08:35.820] 人物。
[00:08:36.294–00:08:37.964] 又可以拆分成三个要素。
[00:08:38.694–00:08:39.436] 身份。
[00:08:42.918–00:08:43.436] 吃粉。
[00:08:46.374–00:08:47.020] 咱们说。
[00:08:47.654–00:08:49.164] 他身份不就是个侠客吗？
[00:08:49.958–00:08:50.412] 不是。
[00:08:50.982–00:08:52.876] 身份是戏种的身份。
[00:08:54.150–00:09:02.028] 故事中的身份侠客是他的职业，是他的标签呃，当然他的标签的职业有可能成为。
[00:09:02.630–00:09:03.884] 他在故事中的。
[00:09:04.358–00:09:05.196] 呃税份。
[00:09:08.198–00:09:10.796] 但是在这个故事中，他的身份。
[00:09:14.182–00:09:15.308] 这个故事是什么呢？
[00:09:16.070–00:09:17.100] 故事是报酬。
[00:09:17.894–00:09:18.764] 他给谁报仇？
[00:09:20.102–00:09:21.836] 替父报酬。比如说。
[00:09:23.014–00:09:24.716] 那其实他的身份是个。
[00:09:26.502–00:09:27.084] 这个儿子。
[00:09:27.686–00:09:29.004] 或者说是一个。
[00:09:31.046–00:09:31.852] 孝子。
[00:09:32.646–00:09:33.228] 明白吗？
[00:09:34.118–00:09:41.100] 所以说这个身份大家必须理解，不是说我今天写一个木匠的故事，所以我这个主角。
[00:09:41.606–00:09:45.420] 呃的身份是个木匠。你如果故事是关于。
[00:09:46.022–00:09:52.236] 他怎么样做好一个木匠活，那他的身份，你这个主角的身份是木匠。
[00:09:53.670–00:09:54.252] 明白吗？
[00:09:54.758–00:09:59.916] 否则的话，这个身份是是是在是他在。
[00:10:01.446–00:10:02.604] 世界。
[00:10:04.454–00:10:05.196] 中的。
[00:10:06.182–00:10:06.988] 角色。
[00:10:08.326–00:10:12.044] 这个一定要搞清楚，好吧，这是人物的身份。
[00:10:13.286–00:10:14.700] 人物的第二个属性。
[00:10:17.894–00:10:18.380] 欲望。
[00:10:19.782–00:10:20.556] 啥叫欲网？
[00:10:23.942–00:10:24.652] 他的这个。
[00:10:25.510–00:10:26.348] 事件中的欲望。
[00:10:27.270–00:10:29.228] 这个事件中的欲望很明确。
[00:10:31.494–00:10:32.076] 他想干嘛？
[00:10:32.902–00:10:33.580] 想报仇。
[00:10:37.158–00:10:37.740] 想报酬。
[00:10:40.358–00:10:43.020] 就是这在这个时件中的欲望，我怎么又给写上去了？
[00:10:51.110–00:10:53.548] 就是他在他在本事件中。
[00:10:55.462–00:10:56.684] 他想得到什么？
[00:10:57.478–00:10:59.084] 我们这么理解吧，好吧。
[00:10:59.750–00:11:00.588] 他想得到什么？
[00:11:02.758–00:11:03.852] 其实就是他的want。
[00:11:04.902–00:11:05.356] 对吧。
[00:11:06.278–00:11:12.140] 现在有这几年有有有有一套want和ne的理论也比较流行。这个咱们回头再说。
[00:11:13.062–00:11:17.676] 人物的身份，人物的欲望，那与欲望紧接的是动作。
[00:11:20.006–00:11:20.812] 动作是什么？
[00:11:21.702–00:11:24.812] 是他为了满足欲望而付出的行动。
[00:11:25.638–00:11:26.828] 在这个故事当中。
[00:11:27.686–00:11:31.116] 我我们大概能估计出来他的动作就是。
[00:11:31.590–00:11:38.284] 到处找那个仇人要杀掉对方，对吧？就是杀人这个动作。所以。
[00:11:38.982–00:11:45.292] 在这个人物三要素里面，动动作的定义是为为达到欲望而付出的行动。
[00:11:46.822–00:11:51.116] 所以我们一直讲主角要有行动力，要有主动力，动作在这儿。
[00:11:51.846–00:11:56.236] 所以构成人物的三要素身份欲望动作，好吧。
[00:11:57.286–00:11:59.116] 来嗯下一个是。
[00:12:00.358–00:12:01.324] 世件。
[00:12:04.166–00:12:04.684] 对吧。
[00:12:05.478–00:12:08.876] 事件也有三要素。事件的三要素啊。
[00:12:11.302–00:12:12.172] 核心问题。
[00:12:20.614–00:12:21.228] 核心问题。
[00:12:23.334–00:12:23.852] 上海。
[00:12:30.726–00:12:31.180] 结果。
[00:12:33.446–00:12:38.060] 就说你在故事里面，你这个事儿要有这三个要素，核心问题是什么？
[00:12:39.110–00:12:40.236] 障碍是什么？
[00:12:41.158–00:12:42.220] 结果是什么？
[00:12:43.206–00:12:45.420] 核心问题在这个事件中。
[00:12:46.054–00:12:49.196] 的核心问题，那就是想着杀了他。
[00:12:49.830–00:12:54.892] 对吧就是关于杀了他这个事儿是核心问题，肯定不是那么好杀的吧。
[00:12:55.398–00:12:58.412] 为啥有障碍？第一这个人可能不好找。
[00:12:58.950–00:13:07.564] 第二，要杀他之前得杀各种呃小喽啰，对吧？第三呢，找到这个人了，小喽啰也杀光了，这个人武艺高强。
[00:13:08.262–00:13:12.428] 所以你做成这个解决这个核心问题会有各种各样的障碍。
[00:13:13.702–00:13:20.396] 没有障碍的故事，不是精彩的故事。所以有很多人说，对于一个故事来说，最重要的是障碍。
[00:13:21.286–00:13:22.156] 那个。
[00:13:22.694–00:13:24.652] 呃，书上翻译成沟壑。
[00:13:25.542–00:13:37.292] 咱们要记得，以后看到沟壑这个词儿也不要觉得陌生，那个壑很难写，所以我写了阻碍，然后写还写了障碍，还有翻译成阻力，好吧。
[00:13:38.534–00:13:43.372] 结果就是他解决这个核心问题。最后。
[00:13:44.294–00:13:46.444] 得到了一个什么结果，这个很容易理解。
[00:13:47.046–00:13:47.788] 然后。
[00:13:48.742–00:13:49.420] 主题。
[00:13:56.774–00:13:58.476] 主题分两部分啊。
[00:13:59.622–00:14:02.380] 价值观分正价值。
[00:14:03.878–00:14:04.748] 和附加值。
[00:14:12.838–00:14:13.580] 我们说。
[00:14:14.982–00:14:29.228] 我们希望主题是正能量，但是一定会有一个负能量与之相差相对应。这两个能量在这个故事中一定要做对抗的，一定要去做抉择的。就以我们说的这个报酬为例。
[00:14:30.694–00:14:38.892] 就以我们随便说的就是刚才随便说的例子啊，就说这个报酬为例，他最后呃还是那个结局，就是说他的丝绸。
[00:14:39.590–00:14:44.844] 是要杀了这个人，但是他们他又发现这个人通过一直在找他，他又发现这个人。
[00:14:45.862–00:14:48.204] 除了杀了自己的父亲以外。
[00:14:48.774–00:14:52.428] 在其他方面是民族英雄国家栋梁。
[00:14:53.670–00:14:54.156] 对吧？
[00:14:54.694–00:14:57.356] 那么他就会出现正负价值的对抗。
[00:14:58.022–00:15:03.724] 也不也不是那么快就放弃的，肯定要对抗对抗的对吧？正负价值的对抗。
[00:15:04.262–00:15:09.356] 最后一定要是正价值战胜负价值。我说的是95%以上的。
[00:15:10.214–00:15:18.188] 线性故事，写成剧本的线性故事。好吧，你非要跟我说老无所依啊，或者是什么，最后呃很幻面。
[00:15:18.854–00:15:22.156] 那个是另外一种价值，那个不在我们讨论之列。
[00:15:23.334–00:15:24.332] 所以你看啊。
[00:15:25.222–00:15:27.020] 我们说故事分三要素。
[00:15:27.942–00:15:34.284] 人物事件主题人物分3块，事件分3块，主题分正负。
[00:15:34.950–00:15:35.948] 8个东西。
[00:15:37.350–00:15:39.820] 我们说哎呦这个。
[00:15:40.646–00:15:42.892] 咱们前面上课。
[00:15:43.430–00:15:55.628] 相处的挺愉快的，一直都很开心。为什么这一节突然来了这么多概念，你想搞什么对吧？头很大，我告诉你想搞什么这8个元素，我们把它连在一块看一看。
[00:15:57.062–00:15:58.828] 一个什么样的人？
[00:15:59.814–00:16:01.804] 他产生了一个什么样的想法？
[00:16:02.406–00:16:05.228] 为了这个想法，他采取了什么样的行动？
[00:16:05.734–00:16:11.340] 采取这个行动是想解决什么样的问题？解决问题的过程中遇到了很多的障碍。
[00:16:11.942–00:16:19.372] 在这些障碍的阻挠下，最后有一个什么样的结果？这个结果体现了一个什么样的正价值？
[00:16:20.870–00:16:21.580] 这就是一个。
[00:16:22.662–00:16:24.332] 你以后所有的故事。
[00:16:25.318–00:16:31.660] 或者是你上手，你从事你的创作生涯，上手的前十个故事至少。
[00:16:32.262–00:16:33.132] 都要这么跟我讲。
[00:16:34.758–00:16:35.436] 都要这么讲。
[00:16:36.550–00:16:38.860] 你没有能力跳出这个框。
[00:16:40.710–00:16:41.900] 没有能力跳出这个框。
[00:16:42.630–00:16:46.828] 当然你说哎呀，老师，你这个说的有点太夸张了吧。
[00:16:47.334–00:16:52.460] 对吧这个这个这个哪有这个所有的故事难道都是这个框吗？
[00:16:53.030–00:16:54.156] 目前来说都是。
[00:16:55.334–00:16:57.132] 比如说我们随便举个例子啊。
[00:16:57.606–00:17:00.524] 我也不知道大家都看过什么电影，都爱看什么电影。
[00:17:01.574–00:17:02.316] 就比较。
[00:17:02.950–00:17:04.940] 呃，经典的。
[00:17:05.702–00:17:06.924] 我们说周星驰。
[00:17:07.718–00:17:16.236] 喜剧之王大家都觉得啊商业性艺术性都很都很到位，然后又又又特别有意义。我们来看看周星驰。
[00:17:22.726–00:17:23.852] 我们就来卡这8g。
[00:17:24.550–00:17:26.220] 中心在戏中是什么身份？
[00:17:27.942–00:17:28.588] 什么身份？
[00:17:30.950–00:17:31.532] 演员。
[00:17:32.678–00:17:35.596] 群众演员确切的说，群众演员。
[00:17:37.734–00:17:38.828] 我往这边写，好吧。
[00:17:45.446–00:17:48.236] 周星驰的戏中的身份群演。
[00:17:57.094–00:17:58.028] 他的欲望是什么？
[00:18:00.166–00:18:01.100] 出人头地。
[00:18:02.342–00:18:02.988] 对不对？
[00:18:04.134–00:18:06.988] 他的欲望就是出人头地，他做梦都想出人头地。
[00:18:08.454–00:18:09.388] 因为他有一。
[00:18:09.926–00:18:13.484] 我们说一个电影在前25分钟一定会点题。
[00:18:14.438–00:18:15.788] 一定会点题。
[00:18:16.422–00:18:17.996] 他他说。
[00:18:18.790–00:18:21.164] 人如果没有梦想，跟一条咸鱼有什么区别？
[00:18:27.078–00:18:27.820] 所以你。
[00:18:28.390–00:18:29.580] 你说他的欲望是什么？
[00:18:30.950–00:18:31.436] 梦想。
[00:18:31.974–00:18:36.140] 出人头地对吧？梦想具具体就是出人头地。
[00:18:37.062–00:18:40.108] 那他为了这个梦想，他采取了什么样的动作呢？
[00:18:41.894–00:18:51.084] 去剧组去剧组蹭戏，对吧？他天天跑组，我们这种行为叫跑组，跑组蹭戏。
[00:18:54.374–00:18:54.796] 那。
[00:18:55.686–00:18:56.588] 人物说完了。
[00:18:58.502–00:18:59.692] 身份欲望动作。
[00:19:00.422–00:19:01.484] 事件是什么呢？
[00:19:03.142–00:19:06.476] 世界是一次次与机会擦肩而过。
[00:19:07.302–00:19:08.396] 就是机会。
[00:19:09.990–00:19:11.340] 就好难找到机会。
[00:19:13.318–00:19:13.740] 对吧。
[00:19:14.950–00:19:17.420] 他的核心问题就是机会太难找了。
[00:19:18.758–00:19:22.988] 好不容易让他演一次神父，让他死一下，他就死怎么死也死不掉。
[00:19:23.462–00:19:25.356] 因为你给搞砸了，对吧？
[00:19:26.566–00:19:33.068] 而且后面还好像还混碰到了一次这个这个当男一号的机会，但又黄了。
[00:19:33.702–00:19:34.284] 就是。
[00:19:35.430–00:19:37.068] 机会难难寻。
[00:19:38.182–00:19:38.668] 对吧。
[00:19:39.302–00:19:40.172] 机会难觅。
[00:19:43.046–00:19:58.060] 阻碍我们说一我们说一个故事中，阻碍是有人说阻碍是最最重要的。所以阻碍一般来说都是组合型的，好多个阻碍大阻碍小阻碍上来的阻碍是什么？上来阻碍是那个狭义。
[00:19:58.726–00:20:05.676] 是吧这副导演后来还有一个揪他头发的副导演，然后还有要砍他手的吴孟达。
[00:20:06.534–00:20:08.812] 还有社区各种各样给他捣乱的人。
[00:20:09.286–00:20:15.212] 还有那个那个那个黑社会大哥叫什么，对吧？那个那个我忘了叫什么了。
[00:20:16.134–00:20:19.724] 再有那个呃导演投资人。
[00:20:23.238–00:20:24.300] 各种各样的障碍。
[00:20:28.870–00:20:29.932] 形形色色的障碍。
[00:20:30.406–00:20:33.900] 对吧各种艰难，最后的结果是什么呢？
[00:20:36.294–00:20:39.564] 结果是，虽然没有当成明星。
[00:20:40.998–00:20:51.948] 虽然没有当成明星，跑组失败了，但是不耽误他出人头地，成为一个有价值的人。最后的结果就是。
[00:20:53.222–00:20:54.892] 当一个平凡人。
[00:20:56.422–00:20:59.084] 也可以出人头地。
[00:21:00.134–00:21:01.420] 不做明星。
[00:21:02.470–00:21:04.172] 也可以实现梦想。
[00:21:05.478–00:21:12.652] 所以最后的价值其实是什么呢？就是平凡人也可以比明星更有价值。
[00:21:15.206–00:21:21.164] 体会到我说为什么主题都要正能量吗？如果这个故事不去讲，我们不去讲。
[00:21:21.702–00:21:22.572] 这个故事。
[00:21:24.166–00:21:39.756] 也不说这个戏是喜剧之王，也别提周星驰，就说哎我给你讲一个故事，故事呢说的是平凡人也可以有梦想，甚至比做明星还有价值，你肯定不要听。
[00:21:40.518–00:21:42.668] 对吧你肯定不要听。
[00:21:44.198–00:21:46.284] 但是他就藏在这个戏里。
[00:21:46.918–00:21:48.396] 是必须要有的。
[00:21:49.350–00:21:57.644] 是必须要有的。所以我再重头给大家捋一遍好吗？通过这个例子，你大概明白。
[00:21:58.278–00:22:00.172] 这个这个故事的八要素了吧。
[00:22:02.886–00:22:20.108] 我们可以再再举一个例子啊，咱们中国的戏啊这就很少有所有人都看过的。你你说比如说这个这个个这个这个人在囧途也好，心花怒放也好，这种很牛逼的电影也不是所有人都看过。咱们说个耳耳熟能详的西游记。
[00:22:21.094–00:22:25.804] 西游记好不好？西游记所有人都看过来人物是谁告诉我。
[00:22:30.694–00:22:35.404] 有人说是悟空，有人说那取经那老大是唐僧的。
[00:22:38.662–00:22:39.244] 是谁？
[00:22:39.878–00:22:40.748] 主角是谁？
[00:22:42.150–00:22:43.404] 师徒4人。
[00:22:43.878–00:22:45.708] 我告诉你为什么是师徒自人。
[00:22:48.934–00:22:54.924] 因为师徒四人在这种戏里面，你看起来他是个群戏，但其实这师徒四人是一个人。
[00:22:57.446–00:23:10.476] 是一个人，他代表一个人不同的性格，有很多这样的戏。我告诉大家，有很多这样的戏看起来是多男主呃多主角或者是双主角，但其实是一个人。
[00:23:12.454–00:23:13.196] 他代表。
[00:23:14.918–00:23:22.060] 它可以代表一个人两种选择，两种价值或者是不同的性格。在这里就典型的。
[00:23:23.110–00:23:23.916] 代表的。
[00:23:25.510–00:23:26.476] 取经人。
[00:23:28.166–00:23:30.124] 的四种不同性格，不同状态。
[00:23:30.726–00:23:32.588] 所以他其实是一个主角。
[00:23:34.534–00:23:50.220] 我不想在这里讲的过早啊，但我可以给大家透露一句，万一大家在座的有有悟性比较高的啊，你判断一个戏啊，说他真的是一个多主角的戏，还是是一个假多主角的戏。假多主角就是这几个主角其实可你捏在一块儿的，他就是一个人。
[00:23:52.198–00:23:57.740] 就比如说那个那个那个疯狂的外星人，沈腾黄渤那就是一个人，懂吗？
[00:23:58.406–00:23:59.340] 他们俩是一个人。
[00:24:00.742–00:24:04.332] 黄博生，我要刷猴，只能说咱得挣钱。
[00:24:05.510–00:24:05.964] 对吧。
[00:24:06.534–00:24:07.756] 呃，剪了个猴。
[00:24:08.646–00:24:10.828] 捡了那个外星人，黄渤说，我要训他。
[00:24:11.494–00:24:12.972] 沈腾说，咱们把它卖了吧。
[00:24:13.862–00:24:15.788] 就是它其实代表。
[00:24:17.958–00:24:20.780] 这个沈腾黄渤，他们应该是一一个人。
[00:24:21.254–00:24:24.876] 他们代表这个人的每次的两个选择。
[00:24:25.606–00:24:28.588] 正常来说啊，你说一个不挣钱的耍猴人。
[00:24:29.382–00:24:40.844] 就就比如说黄渤儿这个角色，作为一个不挣钱的耍猴人，他的内心难道没有动过气候从商的念头吗？他一定动过。
[00:24:41.350–00:24:42.892] 所以把它外化成。
[00:24:43.878–00:24:46.252] 沈腾这个角色就天天念叨的。
[00:24:47.014–00:24:49.516] 那跟我挣钱跟我挣钱，咱俩卖酒。
[00:24:50.406–00:24:56.748] 其实就是他性格一部分的外化，至于为什么要在戏中把它外化出来呢？为什么？
[00:24:57.286–00:24:57.996] 是为了。
[00:24:59.014–00:25:03.660] 快速的推进剧情，省的角色跟自己打架。
[00:25:04.902–00:25:08.492] 角色自己跟自己打架是一种内心对抗。
[00:25:09.030–00:25:11.532] 这种搞法呢很文艺的。
[00:25:12.230–00:25:14.924] 明白吗？很吃篇幅的。
[00:25:15.430–00:25:19.916] 在商业片中啊，特别是在这种盯光很爽的商业片当中啊。
[00:25:20.486–00:25:23.404] 这种事情呢就就他就不太愿意搞。
[00:25:23.878–00:25:25.580] 他就索性把这个角色拆开。
[00:25:26.854–00:25:27.756] 一目了然。
[00:25:28.582–00:25:34.380] 好吧，呃这种就是他就是假假多主角。
[00:25:35.334–00:25:37.868] 什么叫真多主角的戏啊？
[00:25:38.406–00:25:49.260] 就是戏当中要有明确的篇幅来表现这两个人的互相影响，互相成成就，互相牺牲。
[00:25:50.246–00:25:53.676] 最简单的啊就是你就看这两个人有没有决裂过。
[00:25:55.846–00:25:56.588] 这两个人。
[00:25:57.478–00:25:58.988] 咔嚓真的决裂了。
[00:26:01.958–00:26:02.924] 这种戏。
[00:26:03.654–00:26:06.572] 还是就是他有人物关系了，你懂我意思吧？
[00:26:07.174–00:26:16.332] 他有人物关系了，你疯狂的外星人沈腾、黄冠从头到尾两兄弟一起，对吧？从头到尾那个没头脑和不高兴呀。
[00:26:16.838–00:26:34.988] 这这这这就假假假假多主。好，这是题外话啊，题外话我们后面会说在这儿就是就是大家领会精神来西游记回来啊，回来回来回来，西游记四个人，师徒取经人一个人，好吧。
[00:26:35.526–00:26:36.428] 欲望是什么？
[00:26:37.958–00:26:38.732] 欲望是什么？
[00:26:43.046–00:26:45.804] 欲望是普渡众生。
[00:26:47.078–00:26:48.684] 出发前讲的嘛。
[00:26:49.894–00:26:53.132] 出发前告别逃王怎么说的？
[00:26:53.734–00:27:00.460] 说哎呀呀呀呀呀这个这个这个这个这个小称佛教呀，佛教什么叫小称啊？
[00:27:00.966–00:27:18.892] 小称佛教就是说啊你读了之后修行，把你自己给给给搞牛逼了。你这是光顾自己啊，小称小称，那说那什么叫大乘呢？大秤就是说你这个佛法可以普渡众生。然后唐僧说我要普渡众生。
[00:27:19.718–00:27:23.820] 对吧然后他就他的欲望是普渡众生。
[00:27:29.894–00:27:32.172] 然后说那普渡钟生咋普呢？
[00:27:33.478–00:27:41.388] 人家告诉他，在这个这个西西方世界，西方极乐世界是有相关文件的。
[00:27:41.990–00:27:47.916] 对吧这个这个这个呃其实他指的就是印度那个佛教的发源地嘛。
[00:27:48.550–00:27:51.468] 然后这个这个所以引发了动作。
[00:27:52.486–00:27:53.708] 就是取经啊。
[00:27:54.438–00:27:55.308] 就是取经。
[00:27:56.806–00:27:57.260] 对吧。
[00:27:58.182–00:27:58.636] 那。
[00:28:00.454–00:28:04.588] 这个故事的核心事件是什么？西游记的核心事事件是什么？
[00:28:05.158–00:28:06.572] 一路向西。
[00:28:09.510–00:28:11.404] 整个故事不就是一路向西吗？
[00:28:13.126–00:28:22.764] 一直在奔西走吗？往西天走嘛？就西天取经嘛，障碍我就不说了吧。九九八十一难，我写我都懒得往上写。
[00:28:23.462–00:28:24.556] 结果是什么呢？
[00:28:25.222–00:28:26.348] 结果是什么呢？
[00:28:27.366–00:28:31.020] 这几个人成佛了，取到经了，而且成佛了。
[00:28:33.190–00:28:33.868] 成佛。
[00:28:34.694–00:28:36.076] 得京成佛。
[00:28:41.446–00:28:42.668] 吃粉饼啊。
[00:28:44.614–00:28:45.004] 来。
