P009 第四课-第一个故事4.1
[00:02:39.174–00:02:41.548] 人家是成名了大腕。
[00:02:42.470–00:02:47.340] 他们有资格去造，我想写啥就写啥，我管你爱看不爱看，对吧？
[00:02:48.198–00:02:51.084] 我记得我去看致青春，我在电影院看的。
[00:02:52.294–00:02:53.452] 我跟朋友一块去看的。
[00:02:54.534–00:02:55.756] 这个片头一开始。
[00:02:56.326–00:02:57.516] 这几个女孩一出场。
[00:02:58.022–00:03:03.884] 我就知道那就知道这篇的内容是什么了，我就跟我旁边人说，我们现在可以下注打赌啊。
[00:03:04.998–00:03:05.996] 哪个姑娘？
[00:03:06.598–00:03:07.532] 会做人流。
[00:03:10.886–00:03:14.284] 所有的校园题材，只要是大学校园题材。
[00:03:15.270–00:03:17.388] 的那种故事，那种你侬我侬。
[00:03:18.150–00:03:19.308] 爱情调调的故事。
[00:03:20.390–00:03:21.356] 必然要打胎。
[00:03:23.878–00:03:25.516] 因为大家没东西写了。
[00:03:26.726–00:03:28.684] 我跟你说，为什么他们特别爱写打牌。
[00:03:29.190–00:03:32.204] 打开那么好，你记得吗？第一节课我跟你们说过。
[00:03:33.190–00:03:34.412] 呃，那个那个。
[00:03:35.238–00:03:40.780] 如果一个戏这个男二号有男2号，男2号要在65分钟死掉，为什么？
[00:03:41.350–00:03:49.100] 因为男二号是男一号性格的一部分，是男一号的一部分，一部分死掉，男一号才能蜕变。
[00:03:53.094–00:03:55.116] 男二号作为男一号的一部分。
[00:03:56.902–00:03:57.932] 死掉蜕变。
[00:03:59.014–00:04:08.972] 打胎更是他妈女一号身体的生命的一部分，死掉他蜕变更容易比男2号还好使，必须打。
[00:04:10.534–00:04:12.524] 所以说你写这类题材的话。
[00:04:13.446–00:04:14.668] 写不出花来。
[00:04:15.654–00:04:16.780] 人人都在写。
[00:04:20.230–00:04:24.556] 这是第一，我不推荐写这种写不出花了。
[00:04:25.990–00:04:26.732] 第二呢。
[00:04:27.270–00:04:29.324] 你这种东西是本能的写的。
[00:04:30.950–00:04:32.236] 你一辈子写这个吗？
[00:04:32.998–00:04:35.500] 你写完这个东西，你还是不会创作故事呀。
[00:04:37.606–00:04:39.916] 我们上这堂课要学会创造故事呀。
[00:04:40.582–00:04:50.060] 你没当过杀手就不写杀手戏了，对吧？有些人说，那我那是我的青春，我就是那个打架和爱情，我就会写这两样不会的。
[00:04:50.854–00:04:59.212] 可能的共情素材，为什么要训练？就是要做编剧，就是这基本功对吧？而且契诃夫说过。
[00:04:59.782–00:05:01.676] 说每个人对人性的认识。
[00:05:03.782–00:05:05.132] 都是来源于自己。
[00:05:05.958–00:05:07.052] 这句话啥意思呢？
[00:05:09.414–00:05:10.988] 你对最卑劣。
[00:05:11.846–00:05:12.908] 最下流的。
[00:05:15.078–00:05:17.932] 这种性格，这种行为的认知。
[00:05:18.662–00:05:19.980] 也是来自于你自己。
[00:05:20.614–00:05:29.388] 你对最善良最圣洁的那些想法行为的认知，也是来自于你自己。你不要小看你自己，你什么都干得出来。
[00:05:30.726–00:05:31.980] 你也什么都写了出来。
[00:05:34.086–00:05:34.540] 好吧。
[00:05:35.206–00:05:35.948] 所以。
[00:05:36.998–00:05:43.212] 这节课结束的时候，我是希望大家开始写一个自己的故事，但是不要给我写青春。
[00:05:43.910–00:05:45.132] 不要给我写街头。
[00:05:46.054–00:05:46.540] 好不好？
[00:05:47.142–00:05:49.356] 就不要写你的青春，你的街头。
[00:05:49.926–00:05:52.588] 我们创作一个故事，我们有方法。
[00:05:53.414–00:05:56.140] 我们上节课不就创造了一个故事吗？大家记得吗？
[00:05:56.870–00:05:59.820] 上节课讲八要素的实战应用的时候。
[00:06:01.254–00:06:03.244] 我们创造的那个故事叫什么来着？
[00:06:03.814–00:06:09.132] 啊，没有名字，但是大家一定有印象一定有印象一个。
[00:06:12.998–00:06:15.788] 一个警察的故事，对吧？
[00:06:16.870–00:06:19.276] 一个迫切想要。
[00:06:22.310–00:06:23.692] 殉职的警察的故事。
[00:06:24.326–00:06:26.028] 殉职的须这么写啊。
[00:06:26.534–00:06:29.004] 一个想要殉职的警察的故事。
[00:06:29.894–00:06:32.940] 大家记得这个故事吧？这个故事做的还挺漂亮的。
[00:06:33.638–00:06:34.668] 具有一定的。
[00:06:35.270–00:06:36.044] 观赏性。
[00:06:37.638–00:06:39.468] 我们说这个故事我们是怎么写出来？
[00:06:40.198–00:06:43.084] 你不是不会写故事吗？我这节课。
[00:06:43.846–00:06:49.804] 就让你写出你的第一个故事，我要教会你的方法，教会你的第一个方法就是从哪儿下手。
[00:06:51.526–00:06:53.772] 故事啊需要一个地方下手。
[00:06:54.278–00:06:58.572] 你的第一笔写什么起笔画什么好吧。
[00:06:59.238–00:07:02.316] 昨天这个故事咱第一笔下手下在哪呢？
[00:07:03.718–00:07:07.404] 就下在这个人物设定上了，就下在这个身份上了。
[00:07:07.910–00:07:13.740] 一个想要殉职的警察，一个成天就是找死，我要牺牲这样一个警察。
[00:07:14.694–00:07:16.108] 这个设定一出。
[00:07:18.598–00:07:20.364] 首先吸引了大家的注意力。
[00:07:21.894–00:07:22.636] 然后呢。
[00:07:23.238–00:07:25.004] 其实整个故事。
[00:07:26.150–00:07:26.924] 出来一半。
[00:07:27.942–00:07:29.676] 等于是等于说什么呢？
[00:07:30.182–00:07:36.652] 这个这个设定啊成为了当时我们整个故事的一个支点。
[00:07:37.638–00:07:44.396] 我们就是围绕这个设定，把故事搞出来了。这个设定占我们昨天那个故事。
[00:07:45.798–00:07:46.892] 功劳的一半。
[00:07:50.470–00:07:54.188] 怎么说不管是八要素，几要素，他扛了一半了。
[00:07:55.686–00:07:56.492] 他扛了一半了。
[00:07:59.526–00:08:01.004] 所以说我们昨天想出这个。
[00:08:04.166–00:08:05.036] 基本都会写了。
[00:08:05.702–00:08:08.684] 我昨天说出我们一个想要殉职的警察。
[00:08:09.158–00:08:14.860] 脑子好的同学自己也会写了，就不用我带着你写了，你也能写出一个版本来。
[00:08:16.134–00:08:17.324] 对吧因为这个。
[00:08:18.214–00:08:19.532] 才是故事的支点。
[00:08:21.030–00:08:22.636] 那么这节课就讨论一下。
[00:08:24.326–00:08:25.452] 是有哪些支点？
[00:08:26.214–00:08:31.180] 就从哪下手？我们既然发现了，我们只要有一个地方敢下手。
[00:08:31.718–00:08:33.068] 就能搞出一个故事。
[00:08:34.214–00:08:36.076] 那我们这节课去解决一个下手的问题。
[00:08:36.870–00:08:37.644] 还能从哪下手？
[00:08:39.174–00:08:44.748] 这显然是一个可以下手的地方，对吧？我们就说呃，我我写在这儿啊。
[00:08:45.222–00:08:48.684] 那支点来第一个支点，这个支点。
[00:08:49.670–00:08:50.220] 这是个什么？
[00:08:51.590–00:08:52.684] 这是个人物设定。
[00:08:53.830–00:08:54.348] 对吧。
[00:08:55.110–00:08:56.204] 这是个人物设定呀。
[00:08:56.966–00:08:58.572] 或者是用我们昨天。
[00:08:59.878–00:09:01.964] 呃，昨天的那个八要书里面的词。
[00:09:02.790–00:09:03.532] 就是个身份。
[00:09:08.390–00:09:10.508] 也就是说，一个好的身份。
[00:09:11.430–00:09:15.468] 可以成为你创造你第一个故事的下手点。
[00:09:16.358–00:09:16.908] 起点。
[00:09:17.894–00:09:19.116] 信心的源泉。
[00:09:20.582–00:09:22.860] 对吧你有了它之后，你就。
[00:09:23.654–00:09:26.316] 这里马上有谱了，我这个故事。
[00:09:27.526–00:09:28.780] 哎，7788了。
[00:09:29.574–00:09:30.380] 我心里有数了。
[00:09:32.262–00:09:32.652] 身份。
[00:09:34.182–00:09:35.980] 那我们说这样的人设，这样的身份。
[00:09:37.254–00:09:38.444] 可以成为我们的起点。
[00:09:39.430–00:09:41.164] 怎么创造呢？怎么搞呢？
[00:09:42.246–00:09:45.932] 其实我们昨天简单提过说你可以写一个附加值的。
[00:09:46.758–00:09:47.276] 定语。
[00:09:47.942–00:09:48.332] 对吧。
[00:09:51.878–00:09:52.524] 我们说。
[00:09:53.414–00:09:55.148] 以人设为起点的。
[00:09:56.454–00:09:58.572] 影视剧你能想到哪些？
[00:10:00.614–00:10:01.324] 比如说啊。
[00:10:03.174–00:10:05.516] 呃，有个美剧叫单身独妈。
[00:10:11.270–00:10:12.204] 一个妈妈。
[00:10:13.062–00:10:13.868] 一个妈妈。
[00:10:14.534–00:10:16.108] 而且是那种富人娶的妈妈。
[00:10:17.510–00:10:19.852] 看起来很呃温柔贤良。
[00:10:20.454–00:10:22.316] 其实呢是个毒贩。
[00:10:22.982–00:10:24.076] 一直在卖毒品。
[00:10:24.614–00:10:29.612] 而且他的目标呢就是他小孩同学的爸爸们。
[00:10:31.430–00:10:32.460] 等于他靠这个。
[00:10:33.318–00:10:35.852] 呃，贩毒赚的钱混迹于。
[00:10:36.518–00:10:37.324] 上流社会。
[00:10:38.950–00:10:44.076] 那这个他的这个定律跟他的身份就相反，价值相反。
[00:10:47.302–00:10:48.076] 就有戏。
[00:10:48.838–00:10:49.772] 这个戏就可以做。
[00:10:50.630–00:10:51.372] 还有啊。
[00:10:53.286–00:10:54.860] 那个那个逍遥医生。
[00:11:02.598–00:11:03.244] 这有意思。
[00:11:04.390–00:11:05.100] 啊，叫rush。
[00:11:07.110–00:11:07.916] 也是一个美剧。
[00:11:09.542–00:11:11.180] 对吧也是一个美剧。
[00:11:12.198–00:11:12.972] 那个医生。
[00:11:13.894–00:11:17.068] 医生我们说那穿着白大褂治病救人。
[00:11:17.798–00:11:19.532] 这个医生呢是个痞子医生。
[00:11:20.838–00:11:34.380] 像个黑社会一样，每天啊这边黑帮火拼好啊，他受枪杀了，还过来看了看哦，中了三枪来给我5万，我给他把弹头取出来，他挣这个钱挣那些。
[00:11:35.462–00:11:37.132] 去不了医院的人的钱。
[00:11:38.406–00:11:41.324] 那基本上都是跟一些犯罪分子来打交道。
[00:11:41.926–00:11:44.428] 所以说这样的一个医生也是我们。
[00:11:45.830–00:11:47.916] 认知范围以外的人设。
[00:11:48.742–00:11:57.740] 他就有戏就可以成为你的故事的起点。所以这类人设你就去想什么呢？一个奇怪的什么，对吧？
[00:11:58.246–00:12:02.668] 怎么个怪法，奇怪的啥啥一个不称职的。
[00:12:08.390–00:12:09.100] 啥啥。
[00:12:09.926–00:12:12.396] 这种可以成为你故事的起点。
[00:12:16.518–00:12:19.788] 到我这里呢我就不展开讲了。因为。
[00:12:20.838–00:12:24.172] 虽然我们昨天是用这个方法解决了故事起点的问题。
[00:12:24.742–00:12:32.076] 但是这个作为呃平常写作来说，它成为故事起点不是最主流的。
[00:12:32.966–00:12:38.252] 我们接着往下说，有好多种东西可以成为你故事的起点。第二。
[00:12:40.006–00:12:40.972] 激励事件。
[00:12:56.934–00:13:02.380] 同学说了，怎么又出新词了，激励事件又给我们搞个新词儿。
[00:13:02.982–00:13:06.220] 别慌，我给大家解释一下，大家就明白了，好吧。
[00:13:06.790–00:13:09.644] 激地事件又称干扰事件。
[00:13:15.142–00:13:16.076] 啥意思呢？
[00:13:18.438–00:13:19.724] 就是出了一个事儿。
[00:13:21.542–00:13:22.316] 把这个。
[00:13:23.270–00:13:24.940] 主角的生活给搅乱了。
[00:13:25.542–00:13:27.532] 干扰事件好吗？
[00:13:28.742–00:13:30.124] 一般来说是什么事呢？
[00:13:32.486–00:13:36.684] 背一个口诀好吧，叫小人物。
[00:13:40.166–00:13:40.844] 出大事儿。
[00:13:45.510–00:13:46.188] 大人物。
[00:13:52.294–00:13:53.164] 遇小事儿。
[00:13:57.190–00:13:58.380] 大家去背这个口诀。
[00:13:59.494–00:14:00.460] 就基本有数了。
[00:14:01.158–00:14:04.044] 啥意思呢？就说你这个主角啊。
[00:14:04.710–00:14:07.308] 虽然没有这么这么。
[00:14:08.070–00:14:09.580] 奇怪的人物设定。
[00:14:10.118–00:14:16.076] 他是一个正常设定，就我们认知范围内的设定，他就是要么就是个小人物。
[00:14:16.678–00:14:18.060] 要么就是个厉害人。
[00:14:18.854–00:14:23.788] 但是呢他遇到了一个他生活中很少遇到的事件。
[00:14:25.062–00:14:35.820] 我们就称这类事件为干扰事件，或者叫激励事件，引起了主角的不适不适应。那么。
[00:14:36.966–00:14:38.476] 我们不就有故事了吗？
[00:14:39.046–00:14:53.036] 那这类干扰事件一般是怎么出现的呢？就是小人物出大事，你本来是个普通的人，一下摊上一个你面对不了的大事儿，你没有经历过的大事儿，对吧？
[00:14:53.574–00:14:54.028] 那你。
[00:14:55.366–00:15:06.508] 当然是是有故事了，或者你本来是个大人物，被困在一个小事情当中，你要解决一个小事情，那不就又搞出问题了吗？我们随便举几个例子啊。
[00:15:07.398–00:15:08.492] 小人物出大事。
[00:15:12.582–00:15:13.484] 功夫熊猫。
[00:15:14.502–00:15:19.052] 一个煮面条的熊猫那么胖，对吧？脂肪含量那么高。
[00:15:20.358–00:15:23.500] 突然被选为天选之子。
[00:15:24.358–00:15:30.604] 要练要在短时间内速成功夫，迎迎战强敌。小人物摊上大事了吗？
[00:15:31.494–00:15:31.916] 对吧。
[00:15:32.454–00:15:33.132] 还有什么？
[00:15:35.942–00:15:36.812] 破坏之王。
[00:15:37.734–00:15:38.412] 周星驰的。
[00:15:39.814–00:15:43.404] 呃，送外卖的对吧？呃，送外卖的一个外卖仔。
[00:15:44.134–00:15:48.236] 要跟谁干仗，要跟谁他要跟谁打，他卷入了个什么事儿？
[00:15:49.126–00:16:02.284] 他要跟断水流大师兄打架呀，断水流大师兄是何等人也？断水流大师兄说，你们在座的都是垃圾，恕我直言，对吧？断水断水流大师兄你也敢惹。
[00:16:03.014–00:16:06.956] 这不就典型的小人物遇大事嘛？周星驰有。
[00:16:07.526–00:16:13.996] 周星驰大部分的片子都是小人物出大事，因为周星驰爱演小人物。
[00:16:14.790–00:16:20.236] 所以呢他的这个这个呃都是玩这一套小人物出大事儿。
[00:16:21.766–00:16:23.276] 功夫其实也是嘛。
[00:16:23.782–00:16:29.164] 对吧那个那个呃都是小人物去办大事儿。
[00:16:29.862–00:16:39.212] 小人物出大事，当然还有咱们这个去年刚播过的呃宁浩导演的疯狂的外星人，对吧？黄渤，你一个耍猴的。
[00:16:39.846–00:16:54.220] 你去耍外星人，外星人那是高等生物啊，科技比你强那么多都都超能力了，那都是一年哥这个乾坤大挪移的，他拿人当猴耍，这小人物。
[00:16:54.790–00:16:55.340] 醋辣式。
[00:16:56.326–00:16:59.148] 所以说是以激励世界为起点。
[00:17:00.230–00:17:08.844] 对吧你看这种故事，你设想一下他的编剧在创作的过程中，他一定第一时间想到的是。
[00:17:09.766–00:17:18.156] 这个干扰事件就是我写一个小人物摊上了一个什么样的大事儿，然后才开始写剧本。所以这是他故事的起点。
[00:17:18.630–00:17:26.156] 我们如果写故事，找不到起点，激励事件完全是可以下手的那大人物遇小事的情况多吗？
[00:17:26.918–00:17:29.196] 很多很多的。
[00:17:31.430–00:17:37.772] 比如说一个一个什么叫大人物啊，呃，就是那种传统强悍强人。
[00:17:38.918–00:17:39.756] 运动员。
[00:17:40.454–00:17:52.972] 那个那个特工警察、黑帮大佬，这都就是传统的所谓的大人物强人，他们遇小事，对吧？那个那个什么呃特特工奶爸。
[00:17:54.438–00:18:09.900] 一个特工去给人看孩子吗？那不就是大荣于小事了吗？对吧？困在小事里了，龙龙有浅滩，虎落平阳嘛，不就这意思吗？特工奶爸临时保姆都是走这种路子。
[00:18:13.222–00:18:19.628] 大人物遇小事，还有啊那个我们说周星驰喜欢搞小人物出大事儿，大人物与小事儿，他也有。
[00:18:20.294–00:18:21.068] 逃学威龙。
[00:18:21.830–00:18:24.588] 他明明是个警察，被困在。
[00:18:25.574–00:18:30.828] 中学校园里当学生，那不就是大人物遇小事吗？各种不适应。
[00:18:31.398–00:18:40.940] 当然那个那个困在学校里当学生的，还有一个更典型的。早年有个韩国电影叫头师傅一体，名字很难很拗口啊。
[00:18:41.510–00:18:42.732] 他讲的是什么呢？
[00:18:43.494–00:18:45.868] 讲的是一个黑帮大佬。
[00:18:46.694–00:18:47.724] 黑帮二帮家。
[00:18:48.358–00:19:04.876] 想要继承大佬快退休了，想要继承大佬的位置。但是呢无意中听说大佬啊选这个接班人有一个条件，说是觉得这个都已经马上21世都已经21世纪了，这个社团发展也是需要有智慧的。
[00:19:05.446–00:19:09.708] 咱们整个社团的最高学历是初中。我希望我的接班人呢。
[00:19:10.822–00:19:13.708] 是个有文化的人，要有高中学历。
[00:19:14.182–00:19:31.916] 追求也不是很高啊。然后呢，这个这个男一号呢，这个系的男一号呢他是初中学历，但是他有个优势，他有个优势。他照到镜子一看，哎，我要是说我19岁20岁其实也还可以啊，确实长得嫩。
[00:19:32.934–00:19:44.492] 然后呢，他就找了一家高中去临时去读一个高三，希望能把这个高中的文凭拿出来。那么这就是黑社会大哥困在。
[00:19:45.286–00:19:51.116] 黑社会大哥是大人物，强人嘛，强人遇小事，学校里面呃读书。
[00:19:51.718–00:19:59.212] 跟其他的高中生这去处理这些学校里的鸡毛蒜皮的事情，这就是大人误遇小事儿。
[00:19:59.974–00:20:11.532] 对吧就是这种套路，小人物出大事，那个呃喜剧大师都很喜欢用。除了刚才一说周星驰会想起来，金凯丽金凯瑞一直用呀。
[00:20:12.038–00:20:17.292] 他每部戏击乎都是这样，就是你看那个那个冒牌天神。
[00:20:18.054–00:20:19.820] 他就是一个很倒霉的小人物。
[00:20:20.326–00:20:26.924] 然后他就诅咒上帝，说你敢不敢让我当一天上帝，结果上帝说，行长，你当摊上大事。
[00:20:27.590–00:20:29.516] 是吧小人物出大事。
[00:20:30.278–00:20:32.876] 所以说你看啊激励世界。
[00:20:34.086–00:20:44.428] 或者所所谓的叫干扰事干扰。哎，随便了啊，干扰事件引引发的这个这个这个故事起点。
[00:20:47.814–00:20:48.556] 是最多的。
[00:20:49.414–00:20:57.740] 所以这个也严重值得我们大家去考虑。而且这个干扰事件你如果写的漂亮了，这个戏上来就是。
[00:20:58.278–00:21:05.100] 就会很吸引人就会很吸引人。好吧，这个我们也是可以呃值得我们严重考虑的。
[00:21:08.486–00:21:28.540] 就是所谓的干扰事件。我以前在讲干扰事件的时候啊，有同学问过我一个问题，我在这里我怕你们也问，我就一并给你解答了，说凭什么只有小人物出大事，大人物出小事儿就没有小人物出小事或者大人物出大事吗？那么超人不就是大人物吗？他出的事儿都挺大的，拯救地球啥的。
[00:21:31.430–00:21:32.364] 产生这个疑问。
[00:21:34.246–00:21:36.940] 我说咱家叫激励事件，干扰事件。
[00:21:38.342–00:21:49.324] 超人出大事超人出大事，他那是他的日常大人物办大事，那叫日常，那就不叫干扰事件，不叫激励事件。干扰事件，激励事件什么意思啊？
[00:21:49.926–00:21:59.564] 干扰世件激励事件是激发你的主角，改变自己的状态了，你懂我意思吧？他本来是个小人物，出上摊上大事了之后，他要改变自己的状态。
[00:22:01.254–00:22:02.220] 星仔。
[00:22:03.174–00:22:05.100] 跟断水流有大师兄要决战。
[00:22:06.150–00:22:13.996] 他他要开始改变自己的状态，他要开始跟达叔练功呀，对不对？他不可能继续送外卖的呀。
[00:22:14.502–00:22:15.852] 你送外卖。
[00:22:17.702–00:22:21.516] 所以这叫激励事件，大人物出大事儿，那叫日常。
[00:22:23.462–00:22:29.804] 它不叫干扰事件，不叫激励事件。好吧，所以这个这个呃不要去呃思考这种这种事情。
[00:22:31.366–00:22:32.268] 这是第二种。
[00:22:33.190–00:22:38.188] 如果你能想到一个激励事件，一个干扰事件，也可以成为你的故事的起点。
[00:22:38.918–00:22:42.124] 好吧，这是又一个可以下手的地方。
[00:22:44.102–00:22:52.908] 而且这种事你想到了，那你整个剧基本上已经出来了。而且我说过，如果从这儿下手，你的人设。
[00:22:54.374–00:23:00.012] 是倒推了是倒推了，你有一个好的激励事件了，你倒推一个人设。
[00:23:00.902–00:23:04.076] 你你有一个好的人设了，你往下推一个。
[00:23:05.190–00:23:06.092] 呃，事儿。
[00:23:06.566–00:23:07.180] 所以说。
[00:23:08.326–00:23:09.420] 你先有什么？
[00:23:10.182–00:23:12.204] 只要他好，你都可以。
[00:23:12.774–00:23:13.836] 让他生根发芽。
