P049 二十三课-怎么写喜剧？（下）23.2
[00:02:39.270–00:02:40.620] 凯文哈特。
[00:02:41.190–00:03:01.820] 其实也是个乖宝宝，没进过监狱，但是呢看在钱的份儿上就赶紧查攻略啊，到时候打听啊，就是开始训练他如何在监狱能活下去，怎么样分清各种帮派，怎么样在监狱里耍狠，怎么样说脏话，对吧？甚至怎么样打架，就开始训练他，这就是一听就是知道是个喜剧片。
[00:03:02.246–00:03:13.676] 为啥？就这动作你不认可的呀？你如果被判刑了，还有一个月进监狱，你会做这个事吗？不可能做这个事儿的呀，对吧？这是一个不合理的动作。
[00:03:14.374–00:03:15.212] 不合理的动作。
[00:03:15.846–00:03:16.524] 所以。
[00:03:17.126–00:03:21.516] 这就是动作的设定方式，对吧？以前教育包括那个嘛。
[00:03:21.990–00:03:26.220] 我们说二次动作那里我给大家举个例子，二次动作很典型的那个。
[00:03:26.758–00:03:27.820] 录取通知。
[00:03:29.062–00:03:39.436] 一帮高中小孩，高三小孩毕业之后没考上大学，怕父母责怪，说自己咋啥玩意儿考不上呢？他们几个人不是造了一个假大学吗？
[00:03:40.390–00:03:45.004] 这个这个这定了几个大牌子租一个破厂房，然后说这就是什吧？
[00:03:46.438–00:03:52.972] 那个那个那个什么什么商学院嘛，就就就假装是个大学嘛，这个动作不也不合理吗？
[00:03:53.446–00:03:55.820] 完全不合理，对吧？完全不合理。
[00:03:57.094–00:03:58.572] 但是也认可了。
[00:03:59.750–00:04:02.636] 因为正常来说，你怎么可能去造一个假的大学？
[00:04:03.846–00:04:05.740] 正常是我的话，我就造一个。
[00:04:06.438–00:04:28.444] 上海交大的录取通知书，然后我妈每次来上海看我，我就我就到那个学校里面待着，然后从那个学校走出来迎接她不就完了吗？你干我自己建一个大学，对不对？你假算在里边上学，谁知道啊，四年以后再去办一个毕业证，谁知道你这应该。
[00:04:28.582–00:04:44.300] 跟你爸说，哎，爸，我考上北大了是吧？然后你爸把你送到北大没问题的呀，送到北大，然后接新生的，然后你就跟着人家一块进去。四年以后，等你爸来接你的时候，你再。
[00:04:45.030–00:05:04.956] 你再去印一个就教害小朋友的这这一段，好像是吧？我的意思就是那才是相对合理的一个选择。你如果真的过不去这一关的话，对吧？如果你爸妈非要逼你考上大学，你过不去这一关的话，你也不应该造一个大学呀，那要成本太高了，对吧？成本和收益不成。
[00:05:05.126–00:05:06.252] 不成正比呀。
[00:05:07.142–00:05:12.108] 所以说这也是从动作角度从动作角度。然后我们说故事要素。
[00:05:12.870–00:05:16.396] 故事要素人物下面是事件，对吧？
[00:05:18.758–00:05:19.596] 世件。
[00:05:21.222–00:05:22.572] 我们说事件这里。
[00:05:28.230–00:05:29.516] 我其实课上讲过。
[00:05:30.086–00:05:34.124] 就是怎么样去从事件角度，从结构角度。
[00:05:34.726–00:05:35.820] 从结构角度。
[00:05:37.030–00:05:39.724] 因为事件啊是你这个故事的肚子。
[00:05:40.262–00:05:43.276] 你怎么样从事件角度，从结构角度。
[00:05:45.254–00:05:46.412] 来选择一个。
[00:05:49.126–00:05:51.116] 有喜剧操作空间的。
[00:05:52.070–00:05:52.780] 事儿呢。
[00:05:53.574–00:05:54.476] 我看上讲过。
[00:05:55.142–00:05:58.380] 我说小人物遇大事，大人物遇小事。
[00:05:58.918–00:06:01.324] 这种就很容易做出喜剧。
[00:06:02.182–00:06:04.716] 小人物出大事儿，大人物遇小事。
[00:06:06.502–00:06:08.556] 就是关于大小人物这个。
[00:06:09.606–00:06:10.092] 对吧。
[00:06:11.046–00:06:14.700] 这一条大家也可以走这条路，很容易做喜剧。
[00:06:15.878–00:06:16.780] 很容易做戏剧。
[00:06:18.406–00:06:23.244] 当然了，事件也有很多其他的，比如说常用的还有巧合。
[00:06:24.422–00:06:26.572] 一个含有巧合元素的事件。
[00:06:28.582–00:06:30.316] 还有巧合元素的事件。
[00:06:31.590–00:06:33.516] 往往也是具有喜剧属性的呀。
[00:06:34.726–00:06:39.180] 早期的喜剧，你看很有很多用长长得一模一样这个梗。
[00:06:39.974–00:06:44.652] 大家回忆一下，有很多电影用谁跟谁长得一模一样。这个梗。
[00:06:45.382–00:06:46.860] 两个人就是长得一样呀。
[00:06:47.942–00:06:48.780] 那个那个。
[00:06:49.830–00:06:50.860] 周星驰都用过。
[00:06:51.686–00:06:57.100] 周星驰跟那个梅艳芳，反正是人家的老公是一个大富豪。
[00:06:58.982–00:07:00.556] 他跟他长得一模一样。
[00:07:01.094–00:07:01.996] 长得一模一样。
[00:07:04.134–00:07:04.716] 巧合。
[00:07:05.862–00:07:06.444] 巧合。
[00:07:07.366–00:07:08.364] 或者是。
[00:07:09.606–00:07:11.468] 或者是最后发现是双胞胎。
[00:07:11.974–00:07:13.004] 也有很多吧。
[00:07:14.022–00:07:33.196] 早年有很多人用双胞胎圆梗，就圆到最后啊，这俩人其实是双胞胎，其实一直是两个人。遇到这种片，我们就一直知道这种片呢基本上因为我们经常审剧本嘛，这种片呢我们就不给pass，不给pass卡了，直接就就就就就打回去了，因为这个梗太老了。
[00:07:33.734–00:07:36.908] 太老了，双胞胎梗对吧？这都属于巧合。
[00:07:37.606–00:07:48.204] 所以你看啊从事件这里从结构角度，大人易小事儿，小人物出大事儿，巧合都是经常用的。但其实更多的啊喜剧的本质。
[00:07:48.966–00:07:54.764] 喜剧的本质用的更多的其实是困境。
[00:07:57.222–00:07:58.476] 其实是困境。
[00:07:59.846–00:08:05.164] 书有点乱，大家自己整理吧啊，用的更多的是困境。啥叫困境？
[00:08:05.766–00:08:08.652] 就是不是不是嘛。
[00:08:09.318–00:08:18.124] 大人务遇小事，小人务出大事，本质上都是不是呀，本质上都是一个困境呀，一个困境，一个困局，一个不是。
[00:08:18.950–00:08:20.076] 难受。
[00:08:20.870–00:08:24.652] 你才能造成俯视吗？才能造成。
[00:08:25.894–00:08:28.684] 观众的爽感吗？快感吗？
[00:08:29.926–00:08:33.964] 困境不是巧合都是这种。比如说。
[00:08:37.382–00:08:38.732] 羞羞的铁拳。
[00:08:39.878–00:08:48.300] 羞羞的铁拳，男女互换身份，一个大老爷们的灵魂穿到一个女的身体里，他自然也不是嘛。
[00:08:49.094–00:09:00.940] 他能做出来的那些事儿，你你也能想想到一个女的女人的灵魂，娇弱的女人灵魂穿越到一个男的拳击手的身体里，她自然也打不了拳了嘛。
[00:09:01.574–00:09:07.148] 他自然是小拳拳捶你胸口嘛，对吧？本来要去参加比赛，他上去小拳拳捶你胸口。
[00:09:07.686–00:09:11.404] 那肯定不是嘛，不是困境。
[00:09:12.390–00:09:14.124] 所以说从事件角度。
[00:09:14.758–00:09:16.332] 我们大家记住这个原则。
[00:09:17.286–00:09:20.556] 主要是寻找困境，制造不适。
[00:09:21.222–00:09:34.540] 简单的方式呢就有大小人物巧合这种你自己去琢磨琢磨，找找参考片好吧。然后我们说故事要素除了人物和事件以外。
[00:09:40.838–00:09:42.156] 还有个东西叫主题。
[00:09:43.718–00:09:45.004] 我们说主题。
[00:09:45.574–00:09:48.396] 是制造喜剧的元素之一吗？
[00:09:50.374–00:09:52.332] 就说你的主题可以是喜剧吗？
[00:09:53.862–00:09:54.540] 也可以。
[00:09:55.398–00:09:55.916] 也可以。
[00:09:56.742–00:09:59.660] 那就是其实啊就是我们经常说的。
[00:10:01.158–00:10:02.188] 黑色幽默。
[00:10:04.134–00:10:04.780] 黑色幽猛。
[00:10:05.478–00:10:06.924] 就是你这个主题啊。
[00:10:07.782–00:10:15.084] 它是喜剧主题，它是个黑色幽默的主题。我们说主题那里我其实讲过说这个价值观啊一定要倍儿正。
[00:10:15.878–00:10:19.308] 毫无争议的那种政放之四海皆政。
[00:10:20.070–00:10:35.276] 对吧什么那个那个那个善恶的那种，或者是什么救赎的，或者是什么人要勤奋的，天道酬勤的对吧？这个这个这个呃爱大于恨，对吧？什么什么这种。
[00:10:36.166–00:10:37.964] 关爱他人这种。
[00:10:38.694–00:10:47.852] 全是这种主主题。本来我那节课课上是这么讲的，但是在有些喜剧里面是可以有黑色幽默的。
[00:10:48.870–00:10:53.996] 它其实相当于是一种反价值，是一种对价值的信谑。
[00:10:54.470–00:11:01.964] 啥叫黑色幽默啊？我先这里我先给大家解释一下这个名词，啥叫黑色幽默？黑色本来就是指死亡。
[00:11:04.230–00:11:07.564] 死亡是最黑色的东西嘛，或者是说这个。
[00:11:08.134–00:11:14.188] 广义的死亡对吧？广泛意义上的一个死亡，对死亡的一种信誉。
[00:11:16.422–00:11:17.196] 比如说。
[00:11:21.702–00:11:23.468] 我们字面意义上的一解死亡。
[00:11:24.102–00:11:29.388] 有个人来杀你，掏出刀，白刀子进，红刀子出，扑哧给了你一刀。
[00:11:30.598–00:11:31.500] 把你杀死了。
[00:11:32.134–00:11:42.956] 然后你临死之前说，哇，这个刀好快啊，把淘宝链接发给我，这就是一场对死亡的信谑，这就是标准的黑色幽默。
[00:11:43.654–00:11:47.308] 黑色幽默是吧？问人家要淘宝链接。
[00:11:47.974–00:11:49.452] 这就是标准黑色幽默。
[00:11:51.174–00:11:56.492] 我给大家举个例子吧啊，因为黑色幽默的很多片子呢过不了审。
[00:11:57.638–00:12:00.268] 我给大家举个例子，大家去可以去看一下。比如说。
[00:12:01.222–00:12:03.020] 有个电影叫斯大林之死。
[00:12:06.278–00:12:07.148] 自己去看吧。
[00:12:08.326–00:12:10.764] 或者是说像那个。
[00:12:11.526–00:12:12.684] 呃，独裁者。
[00:12:13.574–00:12:14.156] 独裁者。
[00:12:15.718–00:12:16.748] 那种都属于。
[00:12:17.798–00:12:18.764] 黑色幽默的片子。
[00:12:20.646–00:12:21.676] 他的主题上。
[00:12:24.102–00:12:24.844] 就首先。
[00:12:25.862–00:12:30.284] 也是有喜剧基因的。还有一个电影嗯呃德国的。
[00:12:31.110–00:12:32.204] 讲的是。
[00:12:33.638–00:12:36.364] 希特勒复活了，对吧？
[00:12:36.934–00:12:37.836] 他重新。
[00:12:39.206–00:12:40.012] 一步一步。
[00:12:41.830–00:12:42.924] 掌控这个国家。
[00:12:44.006–00:12:44.428] 对吧。
[00:12:44.934–00:12:45.644] 而且。
[00:12:47.974–00:12:52.620] 搞得还不错，像这种主题呢也属于黑色幽默。
[00:12:53.414–00:12:53.932] 黑色用过。
[00:12:54.534–00:12:55.820] 他就在主题角度。
[00:12:56.358–00:12:57.068] 就已经。
[00:12:58.150–00:12:59.020] 很戏谑了。
[00:12:59.526–00:13:03.820] 很反价值也是有的。而且大家发现发没发现一个问题。
[00:13:04.742–00:13:05.420] 你看啊。
[00:13:06.406–00:13:09.132] 人物事件主题。
[00:13:10.886–00:13:14.188] 我前面讲过，我说喜剧和悲剧是有歧视链的。
[00:13:14.726–00:13:17.484] 对吧悲剧和正剧肯定是歧视喜剧的。
[00:13:18.246–00:13:20.428] 喜剧内部也有70辆。
[00:13:22.758–00:13:25.260] 喜剧内部也有奇士雷啊，同学们。
[00:13:30.022–00:13:31.340] 主题喜剧的。
[00:13:32.550–00:13:34.028] 瞧不起事件喜剧的。
[00:13:34.630–00:13:37.932] 世界喜喜剧的瞧不起人物喜剧的。
[00:13:40.806–00:13:41.868] 你自己体会一下。
[00:13:42.438–00:13:54.476] 我也是个普通人，我我也会陷在这种歧视类里面就会觉得你在主题上玩喜剧更高级。我事件和人物看起来很正常，对吧？
[00:13:55.046–00:14:04.460] 一本正经的在讲一个事儿，一本正经的讲讲人物，要塑造很正常的人物。但我的主题很黑色幽默，我感觉我挺高级。
[00:14:05.894–00:14:14.796] 然后呢，有的人就在世界上喜剧，就是我这个事儿嘛在结构上玩了一个巧合，我有一个精心的设计和布局。
[00:14:15.334–00:14:30.668] 然后呢，我我有大荣誉小事或者小荣物出大事，或者是我制造了一个很好的困境。我这个喜剧呢，哎，你看看我这属于结构型喜剧啊，我这叫麻花喜剧，麻花喜剧全是这种开心麻花喜剧，全是这种事件喜剧。
[00:14:32.102–00:14:32.876] 事件喜剧。
[00:14:33.382–00:14:37.356] 然后呢，他会觉得呢他瞧不起身份喜剧。
[00:14:39.462–00:14:40.268] 就是。
[00:14:41.478–00:14:45.100] 乡村爱情吧，孙问喜剧的典型代表就是乡村爱情。
[00:14:47.046–00:14:48.748] 就所有的人都很奇怪。
[00:14:49.254–00:14:51.052] 但是事儿呢其实是没有。
[00:14:51.590–00:14:53.644] 没有结构上的太多。
[00:14:54.118–00:14:54.668] 突破了。
[00:14:56.870–00:14:58.604] 世界喜剧、麻花喜剧。
[00:14:59.974–00:15:03.468] 从体感上感觉啊体感上啊。
[00:15:04.678–00:15:06.252] 好像比人物喜剧。
[00:15:06.758–00:15:07.916] 高级人民给。
[00:15:08.582–00:15:10.700] 这就是喜剧内部的起始点。
[00:15:11.718–00:15:18.668] 喜剧内部的起始点就是主题喜剧，其实是世界喜剧，世界喜剧其实是人物喜剧。
[00:15:19.814–00:15:20.908] 大可不必。
[00:15:22.918–00:15:33.388] 我知道我也曾经说过啊，你在身人物身份上去做缺陷或者玩食尿癖。我们叫食尿癖喜剧嘛，其实是有点那个。
[00:15:35.398–00:15:36.300] 稍微有点low。
[00:15:36.774–00:15:38.348] 但是喜剧。
[00:15:39.846–00:16:00.092] 他用郭德纲老师的话说，本身最主要的目的是搞笑，或者是说先搞笑。郭德纲老师不是说嘛，你先搞笑嘛，其他你先别扯了，你如果连让人发笑都没做到，你还跟我扯什么那个那个价值啊，扯什么主题啊，扯什么那个那个关爱他人正能量。
[00:16:00.166–00:16:20.124] 对吧先搞笑，我我觉得这说的是很有道理的。作为一个喜剧，你你设计这个喜剧的时候，你不就是为了让大家笑一笑，轻松一下。所以你先搞笑，先搞笑再说。而且呀每个人对喜剧的理解，每个人的笑点是不一样的。
[00:16:21.222–00:16:28.172] 你搞一个主题喜剧，你拍一个斯大林死，很多人他看不懂的，他不会觉得好笑的呀。
[00:16:30.342–00:16:32.204] 所以说没有必要。
[00:16:33.318–00:16:42.380] 有歧视，没有必要严格的去分高高低。好吧，这里我就是给大家简单说一下这个。
[00:16:43.206–00:16:44.748] 只是跟大家说一下区别。
[00:16:45.638–00:16:50.252] 然后从估事要素的角度，在这个三这三个方面。
[00:16:51.366–00:16:54.732] 都可以做喜剧。现在大家明白了是吧？明白。
[00:16:55.718–00:17:08.620] 那么在我们的每一具体的每一场戏中，具体的每一个节拍中，或者是具体这个戏的呈现形式上，我们怎么去搞喜剧呢？
[00:17:09.542–00:17:13.068] 也是有办法的，就是我们说的呃喜剧元素嘛。
[00:17:13.638–00:17:17.324] 关于具体的一些喜剧元素怎么搞嘞？
[00:17:17.894–00:17:20.812] 有办法常用的啊，比如说。
[00:17:24.294–00:17:25.132] 比如说反转。
[00:17:25.798–00:17:29.324] 反转我们说在喜剧中是很常用的一种手法吧。
[00:17:29.894–00:17:34.988] 让你想不到给你个意外，哎，这一反转，这就属于。
[00:17:36.038–00:17:36.940] 喜剧元素。
[00:17:39.302–00:17:41.004] 也讲一个课上的例子吧。
[00:17:43.270–00:17:44.460] 我讲过一个例子。
[00:17:45.478–00:17:50.764] 嗯，有个美剧叫how爱没to mother，老爸老妈。
[00:17:51.590–00:17:52.396] 浪漫史。
[00:17:53.478–00:17:55.436] 里面有个角色呢，巴你。
[00:17:56.358–00:17:57.708] 生长在单亲家庭。
[00:17:58.310–00:18:02.380] 他妈妈呢一个人把他养大，他不知道自己的父亲是谁。
[00:18:04.422–00:18:15.916] 他还有个哥哥是个黑人，就是他妈呢年轻的时候挺活泼的，生了两个儿子，一个黑人，一个白人。然后呢呃都没有爸法。
[00:18:16.774–00:18:18.092] 然后突然有一天。
[00:18:19.078–00:18:21.452] 这俩兄弟都长大了，三十几岁了。
[00:18:22.086–00:18:25.132] 收拾家里旧物的时候，发现一个信封。
[00:18:25.830–00:18:28.844] 寄给某个人，然后信封里面呢。
[00:18:30.182–00:18:37.708] 是他和哥哥的合照，就小时候两个人的照片，照片背后写着，这是你儿子。
[00:18:40.070–00:18:41.708] 然后他们就是获得了。
[00:18:42.278–00:18:48.300] 找自己父亲的一个线索。然后我们这个barney呢是我们这个戏的男主角之一。
[00:18:48.966–00:18:53.868] 他因为从小缺少父爱，搞得对爱情啊什么的也没有信心。
[00:18:54.342–00:18:55.564] 很怪异的一个性格。
[00:18:56.230–00:18:57.708] 他呢坚持想去找他爸爸。
[00:18:58.886–00:19:00.396] 他哥哥呢是一个理性人。
[00:19:01.094–00:19:01.900] 嗯。
[00:19:02.758–00:19:06.252] 就就就不是很赞同，但也陪着弟弟去找他。
[00:19:08.006–00:19:09.100] 结果是什么呢？
[00:19:09.670–00:19:12.876] 他们去找到了这个地址，敲开了这个门。
[00:19:15.814–00:19:17.228] 开门的是一个黑人老头。
[00:19:19.654–00:19:20.844] 这首先是第一个反转。
[00:19:21.670–00:19:23.308] 就是他不是把你的爸爸。
[00:19:24.486–00:19:25.292] 是个黑人老头。
[00:19:27.174–00:19:27.980] 然后呢。
[00:19:30.406–00:19:32.108] 我们的这个主角，我们的巴黎。
[00:19:32.646–00:19:34.860] 冲上去抱着这个黑人老头。
[00:19:35.878–00:19:37.548] 深情的喊了一声爸爸。
[00:19:43.334–00:20:00.460] 他甚至开始发掘自己的黑人基因，说自己很有音乐天赋，很有运动天赋，然后就开始现场唱各种蓝调唱不录，然后现场跳舞，现场玩乐器，就是想证明他就是个黑人。
[00:20:01.382–00:20:02.316] 这就是反转。
[00:20:02.790–00:20:10.252] 首先那个人很明显，他不是你爸爸，他是你哥哥的父亲，对吧？就说明他跟他哥哥那肯定不是同一个爸爸嘛。
[00:20:11.334–00:20:12.300] 是他哥哥父亲。
[00:20:13.062–00:20:14.636] 但是呢我们的8年。
[00:20:16.646–00:20:17.292] 反转。
[00:20:20.934–00:20:28.492] 这个我在课上讲过，为什么讲过这这个例子为什么非常好呢？首先它具备反转要素，让你完全想不到。
[00:20:30.182–00:20:30.796] 第二呢。
[00:20:34.054–00:20:36.652] 标准了喜剧和悲剧。
[00:20:37.990–00:20:39.244] 是阴阳两极。
[00:20:39.974–00:20:40.812] 的完美体现。
[00:20:41.318–00:20:50.060] 我说喜剧和悲剧其实是不分家的。看这段的时候，我开始是在笑的，因为他在拼命的跟那个黑人显摆他的。
[00:20:51.590–00:20:52.620] 运动基因。
[00:20:53.190–00:20:55.692] 音乐基因的时候，你会觉得把你。
[00:20:56.230–00:21:01.292] 对吧很搞笑，一个白人非得说自己是黑人，非得认那个。
[00:21:01.798–00:21:03.692] 黑人老头当自己的爸爸很搞笑。
[00:21:04.294–00:21:05.004] 但是呢。
[00:21:07.302–00:21:08.684] 其实你也很想哭。
[00:21:09.222–00:21:09.836] 因为。
[00:21:12.166–00:21:13.804] 巴你太想要一个父亲了。
[00:21:14.534–00:21:17.900] 他缺少父爱，从小没有见过父亲，没有父爱。
[00:21:19.110–00:21:23.564] 他在这一刻，他鼓起勇气，经过那么激烈的思想斗争。
[00:21:24.102–00:21:26.124] 不远千里开车过去。
[00:21:26.598–00:21:28.044] 敲开了这个门。
[00:21:29.318–00:21:32.524] 他其实内心是付出了非常非常多的。
[00:21:33.702–00:21:34.316] 挣扎。
[00:21:34.918–00:21:36.396] 鼓足了非常大的勇气的。
[00:21:37.446–00:21:39.244] 所以在门开的那一刻。
[00:21:40.294–00:21:42.188] 开门的虽然是一个黑人老头儿。
[00:21:43.878–00:21:45.388] 但是其实在那一刻。
[00:21:47.846–00:21:49.164] 巴尔尼已经找到父亲了。
[00:21:50.150–00:21:51.340] 他的这个旅程。
[00:21:51.974–00:21:56.300] 他敲开了这个门，他敢面对这一切，他已经找到父亲了。所以。
[00:21:57.542–00:22:02.060] 他找到的不是那个黑人的老头，他找到的是自己心中的父亲。
[00:22:03.334–00:22:07.372] 他想要一个父亲，这个情感是大于具体谁是我父亲呢？
[00:22:08.678–00:22:10.444] 这不就是小蝌蚪找妈妈吗？
[00:22:13.286–00:22:15.116] 谁是我妈妈真的那么重要？
[00:22:17.446–00:22:18.220] 我只要。
[00:22:18.790–00:22:19.788] 认可自己。
[00:22:20.262–00:22:21.644] 我只要找到自己。
[00:22:22.854–00:22:24.172] 我只要找到爱。
[00:22:26.662–00:22:27.340] 所以说。
[00:22:28.742–00:22:29.484] 这个反转。
[00:22:31.174–00:22:32.204] 是我经常举例的。
[00:22:32.902–00:22:33.612] 就是因为。
[00:22:34.598–00:22:35.276] 写的非常好。
[00:22:35.846–00:22:36.812] 这就是戏剧。
[00:22:37.446–00:22:38.412] 这就是给你。
[00:22:40.646–00:22:42.572] 那还有具体反转。
[00:22:43.526–00:22:45.772] 都有哪些方法怎么去搞？
[00:22:46.726–00:22:48.140] 大家自己去看前面的课。
[00:22:49.126–00:22:52.044] 去找到反转那一刻，自己去看，好吧。
[00:22:53.478–00:22:54.060] 第二。
[00:22:54.534–00:22:55.724] 比如还有什么呢？
[00:22:58.214–00:22:59.820] 嗯，排比。
[00:23:03.430–00:23:06.540] 海笔也是喜常用的喜剧元素呀。
[00:23:07.686–00:23:10.604] 啊，大家去回忆一下很多的，比如说啊。
[00:23:11.302–00:23:12.204] 这个这个。
[00:23:14.790–00:23:25.932] 课堂上我们说一个调皮捣蛋的差班的课堂，然后镜头装在轨道上，然后摇着往后往后推。每一个同学都在干什么？
[00:23:26.630–00:23:27.404] 这就是排比。
[00:23:28.198–00:23:28.876] 典型的排比。
[00:23:29.510–00:23:39.500] 对吧有的在那打游戏，有的在那化妆，有的在那这个偷看小儿书。有的呢男女朋友高三课堂在那亲嘴。
[00:23:40.134–00:23:45.196] 它就是一个排比结构。而且呢你去看它的这种节奏，它永远是。
[00:23:45.894–00:23:47.180] 一个比一个过分。
[00:23:48.326–00:23:50.604] 一般是12三转。
[00:23:51.302–00:23:56.876] 第一个有点过分，第二个更过分。第三个再过分，第四个反转。
[00:23:58.470–00:23:58.956] 反转。
[00:23:59.430–00:24:02.572] 你去看这种排比节构，很多的。
[00:24:03.366–00:24:04.492] 还有两个排名。
[00:24:05.222–00:24:11.532] 嗯，讲个举个例子啊，两个排比的情况非常非常多啊，也非常非常多，就是做对比嘛。
[00:24:12.102–00:24:12.812] 比如说。
[00:24:15.046–00:24:15.948] 老有记。
[00:24:16.646–00:24:22.956] 老友记里面啊老友记是经典喜剧啊，老友记里面ross和racachel男女主角。
[00:24:23.910–00:24:24.652] 谈恋爱了。
[00:24:25.254–00:24:26.156] 第一次亲嘴。
[00:24:27.462–00:24:28.652] 清完之后呢。
[00:24:29.222–00:24:50.620] 那肯定是回去之后要跟好朋友们分享嘛，女方跟自己闺蜜分享说啊，你们知道吗？我跟ross接吻了，然后啊闺蜜都炸窝了，你知道吗？真的吗？真的吗？哎，快点详细说说，然后拿爆米花拿水拿来抱枕，一群人在沙发边上围坐一圈，然后开始问各种细节。
[00:24:50.886–00:25:07.404] 对吧谁先亲的谁呀，谁主动的呀，他手放在你腰上还是放在哪儿啊，那个就各种聊，对吧？你们俩怎么终于突破这层窗户纸了呀，天堂都特别快，就叨叨叨叨叨叨，就是先拍女方这面。
[00:25:08.646–00:25:09.836] 从宣布这个消息。
[00:25:10.310–00:25:13.836] 这这一场戏，然后镜头马上切到男生宿舍。
[00:25:14.790–00:25:19.244] 男主角推门进去，告诉自己的另外两个。
[00:25:20.230–00:25:20.716] 哥们儿。
[00:25:21.478–00:25:22.508] 我跟瑞秀亲嘴了。
[00:25:24.102–00:25:25.100] 然后一个人问。
[00:25:25.990–00:25:27.916] 伸舌头了吗？啊，伸了。
[00:25:28.486–00:25:32.556] 另外一个人说牛逼结束了。
[00:25:33.862–00:25:48.780] 结束了啥意思呢？就是女方啊女女生啊就是八卦体制嘛，什么都要问清楚，男的呢就很直接，对吧？亲嘴是一种吃没伸舌头性质不一样啊，是吧？问清楚。
[00:25:49.382–00:25:50.220] 就行了。
[00:25:50.918–00:25:58.572] 干净简练，这种属于两个排比，或者说是要对比对吧？对比也是。
[00:25:59.302–00:26:00.460] 很容易做笑点。
[00:26:00.934–00:26:05.452] 做喜剧元素的地方。然后还有比如说。
[00:26:06.374–00:26:08.652] 我们说叫结构经典。
[00:26:10.310–00:26:16.588] 结构经典也是很容易做喜剧元素的呀。我们说结构经典的类型，比如说。
[00:26:17.926–00:26:19.084] 麻花也有很多。
[00:26:20.006–00:26:21.228] 周星驰也有很多。
[00:26:23.558–00:26:25.740] 就是颠覆你一个。
[00:26:27.430–00:26:30.380] 传统认知嘛经典嘛，比如说一个。
[00:26:31.430–00:26:32.780] 很好色的唐僧。
[00:26:33.446–00:26:48.108] 很能叨叨的唐僧，对吧？那个那个周星驰那个大话西游，很能叨叨的唐僧不就是颠覆你对经典的一个认知嘛，对吧？然后桃园三结义对吧？桃园三结义这个刘关张。
[00:26:49.958–00:27:11.452] 这个在这儿结为兄弟，然后供着一个关公，供着一个关公，这不是结构经典嘛？是吧？就是经典结构类的也是非常非常多的一个类型。你们大家自己去看啊，一个什么三国呀、西游记呀或者是经典影视作品里面的。
