P008 第三课-八要素的实战应用3.2
[00:06:55.974–00:06:57.164] 既然要迫切牺牲。
[00:07:00.198–00:07:01.260] 我们得给他找一个。
[00:07:03.686–00:07:07.884] 他现在缺乏共情嘛，因为咱们绝大部分人是不想要牺牲的。
[00:07:08.422–00:07:11.724] 我们想要活着呀，那什么样的人想要牺牲呢？
[00:07:13.478–00:07:14.732] 我们可以设定一个。
[00:07:15.846–00:07:16.940] 他失去了某个人。
[00:07:19.142–00:07:19.980] 他在悲哀当中。
[00:07:24.838–00:07:25.772] 失去了谁呢？
[00:07:27.654–00:07:28.844] 肯定是至亲的人。
[00:07:29.510–00:07:30.860] 至亲的人有3个。
[00:07:32.070–00:07:32.716] 老妈。
[00:07:33.190–00:07:34.732] 老婆女儿。
[00:07:37.894–00:07:38.604] 都是女的。
[00:07:40.134–00:07:48.748] 没有人会因为他爹死了，所以想不开的，至少在故事里面不可以是这样，男主角必须得是母亲。
[00:07:50.310–00:07:51.084] 老婆。
[00:07:51.846–00:07:52.364] 女儿。
[00:07:53.062–00:07:54.188] 儿子都很少。
[00:07:54.694–00:08:03.564] 按道理，儿子跟女儿是一模一样的。但是在戏里，你去看一下英雄，戏里面凡是男男人是个硬汉，是个英雄。
[00:08:05.350–00:08:06.380] 都是救女儿。
[00:08:07.718–00:08:25.100] 不救儿子的好吧，这这种这种都属于无耻的小规律，我们该用也得用，就像就像超市呃，卖东西9.9块呃，19.9块29.9块，你不知道那就是30吗？但是19.9块就是会让你舒服。
[00:08:25.862–00:08:27.404] 就是无耻的小伎俩。
[00:08:28.806–00:08:31.500] 所以我们这里来失去了谁？
[00:08:32.486–00:08:34.540] 我们说失去了女儿肯定是力度最大。
[00:08:35.366–00:08:37.036] 产生共情最最好的。
[00:08:37.798–00:08:40.044] 一个失去了女儿的警察。
[00:08:44.870–00:08:47.820] 那失去了女儿，他就难过到想要牺牲吗？
[00:08:48.326–00:08:49.388] 我们把它合理化一下。
[00:08:51.750–00:08:52.940] 他作为一个警察。
[00:08:54.662–00:08:55.980] 他的责任是保护。
[00:08:57.094–00:08:58.284] 它的属性是保护。
[00:08:59.622–00:09:00.652] 他保护了很多人。
[00:09:02.342–00:09:03.564] 但是有一天女儿。
[00:09:06.342–00:09:08.172] 比如说上在上高中了。
[00:09:09.766–00:09:11.116] 上补习班晚上很晚。
[00:09:13.126–00:09:14.124] 他应该去接他女儿。
[00:09:17.670–00:09:18.764] 他可能因为工作。
[00:09:19.526–00:09:20.396] 坚守岗位。
[00:09:21.350–00:09:21.996] 就没去。
[00:09:25.798–00:09:27.052] 然后女儿让人奸杀了。
[00:09:29.350–00:09:29.900] 他。
[00:09:30.662–00:09:32.908] 作为一个父亲失职了。
[00:09:33.990–00:09:35.148] 他没有保护到女儿。
[00:09:35.814–00:09:36.812] 所以他女儿现在。
[00:09:40.422–00:09:43.020] 而且我们故事前几分钟会。
[00:09:43.494–00:09:45.196] 通过一些细节交代。
[00:09:45.862–00:09:47.820] 呃，女儿生前是个非常乖巧的孩子。
[00:09:48.614–00:09:50.604] 非常听话，就像天使一样。
[00:09:52.454–00:09:53.228] 就像天使一样。
[00:09:54.406–00:09:55.404] 那他就会觉得。
[00:09:56.390–00:09:57.516] 他女儿在天堂上。
[00:09:58.214–00:09:58.668] 对吧。
[00:10:03.174–00:10:05.100] 他想要继续去保护他的女儿。
[00:10:06.790–00:10:08.556] 因为他这一生没有尽到责任。
[00:10:09.606–00:10:10.924] 所以他想要去保护他女儿。
[00:10:12.070–00:10:13.484] 那你说他可以自杀呀。
[00:10:14.630–00:10:15.788] 42人上不了天。
[00:10:17.702–00:10:18.956] 自杀人要下地狱的。
[00:10:19.782–00:10:21.324] 对吧我们说那。
[00:10:23.142–00:10:24.268] 他作为一个警察。
[00:10:25.318–00:10:26.860] 他想快速的去见到他女儿。
[00:10:27.814–00:10:29.644] 他唯一能做的就是因公殉旨。
[00:10:30.406–00:10:31.020] 他有牺牲。
[00:10:32.166–00:10:32.716] 他有牺牲。
[00:10:33.414–00:10:34.956] 而且我们也可以。
[00:10:35.494–00:10:39.980] 交代这个警察的前使，他之前可能不是一个什么特别好的警察。
[00:10:41.286–00:10:42.796] 并不是很称职。比如说。
[00:10:46.790–00:10:48.236] 所以他现在一定要因公训斥。
[00:10:49.670–00:10:50.572] 才能确保自己。
[00:10:51.334–00:10:53.292] 见到女儿去保护他。
[00:10:54.854–00:10:55.564] 那现在。
[00:10:58.502–00:10:59.596] 这个警察的形象。
[00:11:00.678–00:11:01.356] 完整。
[00:11:02.374–00:11:02.924] 隔离。
[00:11:05.958–00:11:07.052] 还有附加值的定。
[00:11:08.582–00:11:09.804] 让你的朋友抬头。
[00:11:11.302–00:11:11.820] 想听。
[00:11:12.646–00:11:13.132] 对吧。
[00:11:14.950–00:11:17.388] 我们说那这样一个警察。
[00:11:19.846–00:11:22.188] 迫切采要因公殉职的警察。
[00:11:24.646–00:11:25.260] 他的欲望是？
[00:11:31.110–00:11:32.076] 欲望是保护你。
[00:11:33.318–00:11:34.604] 他想去保护女儿啊。
[00:11:38.854–00:11:40.108] 欲望是保护女儿。
[00:11:46.182–00:11:48.332] 我们来检验一下，这怎么检验来着？
[00:11:50.086–00:11:51.436] 欲望怎么解下来着？
[00:11:52.454–00:11:56.620] 嘿嘿对吧？又去找那个猴子。
[00:11:57.254–00:11:59.148] 你说保护女儿他他能听懂吗？
[00:12:01.414–00:12:03.276] 你去逗一下他女儿试试。
[00:12:05.158–00:12:09.324] 动物园有个猴子抱着孩子，你去动一下试试。
[00:12:10.246–00:12:11.724] 他挠他妈死你。
[00:12:13.542–00:12:21.452] 对吧那当然这是猴子听得懂的欲望，一点问题都没有知道吗？保护女儿。
[00:12:22.054–00:12:22.732] 动作。
[00:12:24.070–00:12:24.940] 怎么保护女儿？
[00:12:26.022–00:12:26.988] 寻死。
[00:12:27.942–00:12:29.100] 动作坏掉了啊。
[00:12:29.830–00:12:30.700] 学死。
[00:12:33.318–00:12:33.900] 问题呢？
[00:12:35.750–00:12:39.084] 能不能死啥时候死，死在谁手里？
[00:12:40.006–00:12:43.532] 你这个戏这个人物我们说我们前三部。
[00:12:44.486–00:12:45.676] 完成了一个人物了吧。
[00:12:47.654–00:12:50.060] 一个迫切想要牺牲自己的警察。
[00:12:52.038–00:12:53.004] 为了。
[00:12:53.478–00:12:56.460] 尽快的到天堂见到自己的女儿。
[00:12:59.622–00:13:00.588] 到处寻死。
[00:13:03.270–00:13:05.164] 想要因公殉职啊，所以。
[00:13:05.926–00:13:06.636] 这边。
[00:13:07.494–00:13:27.420] 他可能是是是是个呃普通的这个这个，比如说是个交警，还是啊咱这儿不行，交警不行，比如说他是个普通的一个片儿警，对吧？听那边说，哎呦，有个人身上绑着炸弹要要怎么着怎么着在什么地铁站跟他没有关系，他去了。
[00:13:27.558–00:13:50.268] 对吧所有人在那布置呢，公安局怎么那个局长也来了，拿着大喇叭在就能狙击手哪哪人在都在那指挥呢，他穿着一个警服，身上可能还掏着黄色的那个那种背心咣咣咣就上去了，上去走到就歹徒面前，对吧？那警察其他警察都懵了，这他妈哪部门的？
[00:13:50.662–00:13:51.916] 这哪个部门的对吧？
[00:13:52.422–00:13:56.012] 韩判专家还在那儿呃那个那个我是来帮你的。
[00:13:57.446–00:13:58.316] 然后他就上去了。
[00:13:58.950–00:14:08.556] 结果上去捅咕捅咕那歹徒捅咕捅咕那歹徒歹徒歹徒被他整蒙了，觉得还有这么这警察是要干什么？歹徒缴械投降。
[00:14:10.822–00:14:12.300] 到处寻习。
[00:14:15.078–00:14:20.620] 核心问题就是他死不死，就是说关于呃死不死啥时候死，怎么死的问题。
[00:14:23.110–00:14:24.524] 我说核心问题。
[00:14:38.566–00:14:41.356] 核心问题我前面强调的是核心问题怎么加强？
[00:14:42.342–00:14:43.532] 就是悬念不断。
[00:14:45.574–00:14:45.964] 对吧。
[00:14:46.534–00:14:47.372] 悬念不断。
[00:14:48.422–00:14:49.580] 讲到这里啊。
[00:14:51.046–00:14:52.140] 讲到这里啊。
[00:14:52.678–00:14:55.788] 我们其实这个故事的主题已经差不多出来了。
[00:14:58.182–00:14:58.668] 对吧。
[00:14:59.494–00:15:11.244] 这个故事是咱们今天临时现编的，我上课前临时琢磨的啊，所以咱们来一块创作，不用不用怕出错。就说一个迫切想死的警察为了保护女儿。
[00:15:11.878–00:15:13.388] 为了上天堂保护女儿。
[00:15:13.990–00:15:17.932] 呃到处寻死。那么他的核心问题就是他啥时候死还怎么死。
[00:15:18.438–00:15:19.852] 能不能死的问题。
[00:15:20.838–00:15:22.444] 那么这个悬念。
[00:15:23.174–00:15:24.076] 我说。
[00:15:25.702–00:15:27.212] 这个悬念不能断。
[00:15:28.230–00:15:32.844] 其实讲到这里啊，基本上我们主题差不多出来了。
[00:15:33.478–00:15:34.988] 主题会是什么？你知道吗？
[00:15:36.902–00:15:38.828] 主题其实是活着更好。
[00:15:40.230–00:15:41.388] 就是你活着。
[00:15:42.406–00:15:45.420] 有可能你活着才是你女儿更想看到的。
[00:15:45.958–00:15:48.044] 你活着帮助更多的人。
[00:15:48.774–00:15:49.804] 还是你女儿。
[00:15:51.718–00:15:58.924] 最大的慰藉，你就你在社会上当一个好警察，你能拯救更多的女儿。
[00:16:00.678–00:16:03.724] 你一个人失去了女儿，你不要让所有人失去女儿。
[00:16:05.510–00:16:07.884] 主题基本上就是往是这个。
[00:16:09.734–00:16:10.540] 路先生走了。
[00:16:11.302–00:16:14.732] 对吧非常的正能量，非常的符合我们前面说的。
[00:16:17.190–00:16:20.652] 要主题单说出来的话，要非常的。
[00:16:22.374–00:16:24.620] 牙签非常的足。
[00:16:26.118–00:16:28.556] 就是你活着人活着才更有价值。
[00:16:30.694–00:16:33.068] 你作为一个警察，你应该守护更多的女儿。
[00:16:34.054–00:16:42.188] 而不是守护你死了的那个女儿，这是多么正能量的，就让我都感动的快哭了这种能量，对吧？
[00:16:42.886–00:16:47.020] 我们说这个主题我们可以提前揭晓了，就是活着。
[00:16:49.702–00:16:50.668] 就是活着更好。
[00:16:53.766–00:16:54.700] 守护。
[00:16:56.998–00:16:57.740] 更多。
[00:16:59.398–00:17:00.012] 女儿。
[00:17:04.006–00:17:07.404] 这个主题出来以后啊，我们说那这个悬念不能断。
[00:17:07.974–00:17:09.004] 这个悬念当中。
[00:17:09.510–00:17:10.508] 就可以一分为二。
[00:17:11.494–00:17:14.124] 就可以一分为二，这个悬念就可以一分为二。
[00:17:14.758–00:17:16.972] 前半段是他想死了。
[00:17:18.438–00:17:19.244] 死不了。
[00:17:20.710–00:17:24.396] 想死死不了是前半段，后半段是。
[00:17:24.902–00:17:25.772] 想活活不了。
[00:17:27.654–00:17:28.524] 想活活不了。
[00:17:37.990–00:17:39.628] 事情进展到一半的时候。
[00:17:41.638–00:17:42.444] 他蜕变了。
[00:17:44.070–00:17:44.844] 他发现。
[00:17:47.622–00:17:48.716] 连环强奸。
[00:17:50.694–00:17:51.340] 他女儿怎么死？
[00:17:53.126–00:17:54.124] 也是被奸杀的呀。
[00:17:54.950–00:17:55.980] 连环抢劫。
[00:17:57.062–00:17:58.316] 又有很多。
[00:18:00.518–00:18:02.668] 跟女儿一样年纪的。
[00:18:04.038–00:18:04.812] 小女孩。
[00:18:05.542–00:18:06.284] 遇害了。
[00:18:08.230–00:18:10.508] 三个、4个、5个接来发现。
[00:18:15.014–00:18:16.492] 在这件事情面前。
[00:18:18.118–00:18:19.404] 强烈的刺激了他。
[00:18:20.518–00:18:22.604] 在这种事情面前，他不会想学死的。
[00:18:25.350–00:18:30.412] 或者说他不会现想一死了之的，他至少要跟这个歹徒同归于尽吧。
[00:18:33.318–00:18:35.756] 所以在这里，他卷入了这个案子。
[00:18:39.078–00:18:40.556] 但是这个凶手无比凶大。
[00:18:41.190–00:18:42.188] 这个对手无比凶残。
[00:18:43.430–00:18:45.388] 他又出现了想活活不了的。
[00:18:48.006–00:18:54.540] 所以说关于他死不死，什么时候死，这个悬念不能断，同学们不能断，不是说我们这里触发他。
[00:18:55.430–00:19:06.156] 前面一直寻死，这里就变成我要探案，对吧？我就变成一个警察了，成天在那观察证据分析，然后用脑子分析，觉得嗯差不多了，就破案了不行。
[00:19:06.950–00:19:07.724] 不行。
[00:19:08.326–00:19:09.996] 核心问题还是生死。
[00:19:10.854–00:19:11.788] 还是生死。
[00:19:12.902–00:19:14.540] 就是他前面陷的太深。
[00:19:15.302–00:19:18.188] 对吧比如说他一直寻死不要命。
[00:19:19.110–00:19:22.668] 随便说啊，他他他他上次给他把枪没收了。
[00:19:23.910–00:19:27.916] 那这时候他其实是在这个时候已经想活了，但他没枪了。
[00:19:29.542–00:19:35.404] 反而处于被动，就是他前面一直血死，埋下了祸根，影响到了他后面。
[00:19:36.038–00:19:36.940] 开始想活。
[00:19:38.278–00:19:39.980] 就是这个故事转交是在这儿的。
[00:19:40.518–00:19:40.972] 好吧。
[00:19:43.622–00:19:44.268] 主力。
[00:19:45.126–00:19:48.524] 我们说环境的阻力，对手的阻力，自己的阻力。
[00:19:49.606–00:19:51.404] 我们通过这个设定非常明确了。
[00:19:52.614–00:19:57.164] 非常明确了，环境当然有阻力了，他想死的时候，环境不让他死。
[00:19:58.406–00:19:59.500] 各种立功。
[00:20:00.902–00:20:01.516] 对吧。
[00:20:02.438–00:20:11.372] 哎，一个不一个想一个天天想殉想殉职，想牺牲的警察在警队，我觉得他只要一天没死，在警队就是风云人物。
[00:20:11.942–00:20:18.508] 天天立功，所以环境对他很不友好，对于他想死之这件事情很不友好。哎，这还符合咱们的。
[00:20:19.046–00:20:27.308] 审查他还说别还能过，对吧？然后他的对手呢开始是同同僚，天天看着他。
[00:20:27.846–00:20:36.044] 啊，不让他出任务，有任务我也不告诉他，后来呢就变成那些歹徒，开始是些小歹徒，都都知道他不要命。
[00:20:36.902–00:20:42.892] 他的这个片区治安层层的往上上，犯罪率益为0，消零犯罪。
[00:20:43.910–00:20:45.164] 然后最后是那个。
[00:20:45.766–00:20:46.668] 最终的那个。
[00:20:48.998–00:20:50.828] 那个坏人他的对手。
[00:20:51.654–00:20:57.228] 然后他自己是自己的对手这件事情在这个如此分裂的角色里面是很容易做的。
[00:20:58.054–00:20:58.540] 对吧。
[00:20:59.302–00:21:05.004] 他自己到底是活还是死，对女儿的那种思念，那种愧疚。
[00:21:05.830–00:21:07.948] 那时候觉得自己配不配当一个爹。
[00:21:08.838–00:21:15.404] 配不配当一个警察，配不配活在世上，他与自己的抗争与自己的冲突是非常大的。
[00:21:16.166–00:21:16.748] 所以说。
[00:21:17.830–00:21:18.412] 主力。
[00:21:19.494–00:21:21.548] 毫无问题，这个人的阻力相当大。
[00:21:24.070–00:21:24.748] 结果呢。
[00:21:27.494–00:21:27.948] 结果呢。
[00:21:28.934–00:21:30.156] 我们说绕过动作。
[00:21:30.662–00:21:32.844] 实现欲望，我们动作欲望换掉了。
[00:21:36.102–00:21:37.036] 绕过动作。
[00:21:37.862–00:21:39.148] 动作是垂死。
[00:21:41.286–00:21:42.284] 欲望是保护女儿。
[00:21:43.174–00:21:43.884] 我么说了？
[00:21:45.030–00:21:45.900] 活着。
[00:21:46.566–00:21:47.660] 才能守护。
[00:21:49.446–00:21:50.124] 更多的女儿。
[00:21:52.038–00:21:53.708] 不就是绕过了动作。
[00:21:55.430–00:21:56.204] 实现了愿望。
[00:21:58.182–00:21:58.604] 活着。
[00:21:59.558–00:22:00.716] 才能守护更多的女儿。
[00:22:01.990–00:22:03.052] 那现在这个故事。
[00:22:04.710–00:22:06.060] 是不是瞬间逼格高了？
[00:22:08.102–00:22:08.972] 瞬间逼格高了。
[00:22:11.878–00:22:12.524] 一个。
[00:22:13.414–00:22:14.604] 想要殉职的警察。
[00:22:16.358–00:22:19.020] 因为女女因为女儿遇害。
[00:22:21.158–00:22:21.644] 轻生。
[00:22:22.342–00:22:23.564] 但是想自我殉职。
[00:22:25.062–00:22:26.124] 想上天堂去保护女儿。
[00:22:29.798–00:22:31.116] 寻死而不得。
[00:22:32.518–00:22:35.052] 反而因为过分英勇。
[00:22:36.454–00:22:37.196] 在警察。
[00:22:38.406–00:22:39.084] 这个。
[00:22:39.718–00:22:40.396] 圈子里面。
[00:22:41.574–00:22:42.412] 嗷嗷升职。
[00:22:44.454–00:22:46.316] 然后调进了刑警队。
[00:22:47.526–00:22:50.476] 从一个普通的交警，比如说调进了刑警队。
[00:22:53.286–00:22:54.924] 开始能接触到刑事案件。
[00:22:59.142–00:23:00.940] 接触刑事案件本来以为。
[00:23:01.606–00:23:03.500] 那这里都是武刀弄枪的。
[00:23:04.326–00:23:05.996] 寻死似乎更容易了。
[00:23:06.502–00:23:09.164] 死亡离他更近了，他的目标快实现了。
[00:23:12.006–00:23:12.556] 但是。
[00:23:13.350–00:23:15.244] 在刑事案件翻看档案。
[00:23:17.350–00:23:18.028] 发现了。
[00:23:18.822–00:23:19.852] 有很多。
[00:23:21.510–00:23:22.316] 跟他女儿。
[00:23:22.822–00:23:23.372] 一样。
[00:23:24.422–00:23:27.244] 在花季年华被人杀害的小女孩。
[00:23:33.574–00:23:35.500] 可以就是想起了他的女儿。
[00:23:37.446–00:23:38.508] 他不光是一个父亲啊。
[00:23:39.494–00:23:40.108] 他还是个警察。
[00:23:41.062–00:23:42.444] 而且还现在还是个刑警。
[00:23:44.070–00:23:44.844] 所以似乎。
[00:23:45.862–00:23:46.636] 他被触动了。
[00:23:47.782–00:23:49.100] 可以是被某个。
[00:23:49.670–00:23:50.860] 刚刚死掉的小女孩。
[00:23:51.590–00:23:52.972] 或者是某个小女孩的。
[00:23:55.206–00:23:56.268] 爸爸妈妈。
[00:23:58.598–00:23:59.212] 醍醐冠例。
[00:24:01.638–00:24:02.188] 还破案。
[00:24:03.142–00:24:03.852] 反正他又。
[00:24:04.326–00:24:05.260] 反正他又不怕死。
[00:24:06.022–00:24:08.524] 然后我又在刑警队，那我就破案呀。
[00:24:11.814–00:24:12.812] 但是破案过程中。
[00:24:14.022–00:24:16.364] 等他真的要做一个好警察的时候。
[00:24:17.350–00:24:18.060] 不是原本的。
[00:24:18.854–00:24:20.268] 他就不是原本那个不怕死的他。
[00:24:21.862–00:24:23.340] 他反而就出现了。
[00:24:25.062–00:24:25.772] 活的困难。
[00:24:26.758–00:24:27.980] 他之前是想死不能死。
[00:24:28.550–00:24:29.644] 发现这是想活。
[00:24:30.662–00:24:31.564] 怎没也说到过这些。
[00:24:32.998–00:24:33.740] 然后最后。
[00:24:36.326–00:24:37.580] 体现的主题就是。
[00:24:39.718–00:24:40.172] 活着更好。
[00:24:41.062–00:24:41.932] 能守护更多的。
[00:24:43.718–00:24:44.396] 我这个故事。
[00:24:45.766–00:24:46.316] 逼哥。
[00:24:47.110–00:24:50.060] 立刻就高了，而且具有一定的可看性。
[00:24:52.582–00:24:54.604] 就不用改现在这样写下来。
[00:24:55.942–00:24:56.748] 开一个网大。
[00:24:57.606–00:24:59.052] 是足足足够有余。
[00:25:00.230–00:25:01.612] 拍一个电影不好说。
[00:25:03.910–00:25:05.676] 有些同学说啊说那。
[00:25:06.214–00:25:13.868] 像这样一个，我们说那咱们今天就相当于实战实操，把8个元素穿了一穿。但是你这个故事没有结局啊。
[00:25:15.366–00:25:16.428] 那最后是怎么样呢？
[00:25:17.926–00:25:18.636] 他死了。
[00:25:20.390–00:25:21.164] 还是他活了。
[00:25:23.302–00:25:26.188] 他他他最后结局是什么？
[00:25:27.270–00:25:28.172] 我跟同学们说啊。
[00:25:29.574–00:25:30.188] 结局。
[00:25:31.398–00:25:32.300] 像这种故事。
[00:25:33.446–00:25:34.252] 我们说到这儿。
[00:25:34.758–00:25:35.820] 主题已经实现了。
[00:25:36.678–00:25:37.932] 结局反而是赠送的。
[00:25:39.174–00:25:40.364] 结局其实不重要的。
[00:25:43.014–00:25:45.196] 我们我们随便给他装几个结局啊。
[00:25:47.046–00:25:48.492] 还是这个警察，就是这个警察。
[00:25:49.318–00:25:50.028] 他结局是什么？
[00:25:50.886–00:25:51.916] 也先说一个最俗的。
[00:25:53.094–00:25:53.644] 他说一个岁。
[00:25:54.822–00:25:56.556] 他侦破了。
[00:25:57.542–00:25:58.380] 这个连环。
[00:26:00.134–00:26:00.812] 强奸案。
[00:26:02.502–00:26:02.988] 帮。
[00:26:04.358–00:26:05.708] 他看到的这些。
[00:26:06.502–00:26:07.116] 小女孩儿。
[00:26:07.782–00:26:08.364] 报了仇。
[00:26:11.174–00:26:12.940] 也拯救了后面小女孩的生命。
[00:26:13.894–00:26:14.636] 很圆满的解。
[00:26:15.270–00:26:15.884] 同时。
[00:26:16.742–00:26:17.292] 他发现。
[00:26:19.942–00:26:21.484] 自己的女儿也是死于这人。
[00:26:24.614–00:26:25.036] 这就是。
[00:26:26.982–00:26:29.164] 这就是一种结局，这是结局一。
[00:26:31.046–00:26:32.844] 没地方写了，这就差了啊。
[00:26:42.214–00:26:44.268] 我们说来结局一。
[00:26:46.310–00:26:47.020] 凶手。
