P026 十二课-小蝌蚪找妈妈12.2
[00:01:58.534–00:02:02.124] 另外一一半呃那个那个配角是它的零件。
[00:02:04.390–00:02:05.452] 小蝌蚪咋餐去？
[00:02:06.726–00:02:08.428] 小蝌蚪没有尾巴。
[00:02:09.094–00:02:17.580] 他也不可能再缠别的了，在身上周身上下就一条尾巴，一个一个一个小蝌蚪是吧？那他就没有尾巴嘛。
[00:02:18.886–00:02:29.548] 它就剩一个点儿点点哎点点点点，你怎么了？点点我点点没有尾巴，它周身上下就一个器官，就是尾巴，然后它没有尾巴残缺。
[00:02:30.118–00:02:34.028] 没有尾巴，他就失去了行动能力，失去了捕食能力。
[00:02:34.630–00:02:36.332] 失去了保护自己的能力。
[00:02:36.902–00:02:40.684] 他等于就是残缺的主角，一个没有尾巴的。
[00:02:42.054–00:02:42.636] 小蝌蚪。
[00:02:43.750–00:02:44.940] 那另外一个主角。
[00:02:45.446–00:02:46.988] 就是王八。
[00:02:47.558–00:02:48.364] 王爸呢？
[00:02:49.222–00:02:50.956] 我们说他是小蝌蚪的。
[00:02:52.582–00:02:53.708] 他是小蝌蚪的。
[00:02:54.694–00:02:55.276] 尾巴。
[00:02:56.102–00:02:57.260] 对吧他。
[00:02:58.406–00:03:06.604] 驮着小蝌蚪找东西吃，驮着小蝌蚪散步，驮着小蝌蚪看日出，驮着小蝌蚪走来走去，他相当于弥补了小蝌蚪。
[00:03:07.622–00:03:14.348] 我们说它必须是个零件，就是说它除了驮着小蝌蚪之外，它应该别的作用尽量压低。
[00:03:15.974–00:03:17.516] 小蝌蚪只有一个头啊。
[00:03:18.118–00:03:29.356] 只有一个头啊，所以小蝌蚪可能心思比较多，思考明白我意思吗？心思比较多，他只是没有尾巴，他心思很多，那么我们就会玩八就可以。
[00:03:30.086–00:03:30.956] 可以弱智吗？
[00:03:32.102–00:03:34.828] 明白我这意思吧？就是这个王吧可能。
[00:03:36.486–00:03:38.412] 比如说这个这个。
[00:03:39.046–00:03:44.396] 呃，他们这个池塘里之前有人炸鱼，往往往池塘里扔炸弹。
[00:03:45.862–00:03:47.692] 这个网吧曾经被。
[00:03:48.390–00:03:51.020] 严重的脑震荡，所以现在有点。
[00:03:51.846–00:03:55.084] 有点愚蠢，就是有点一根筋。
[00:03:55.814–00:03:59.244] 然后呢，他就每天就驮着这个小蝌蚪。
[00:04:00.678–00:04:06.060] 那么他们俩就完全成了残缺的主角跟灵件的关系。
[00:04:07.366–00:04:09.004] 这就有了爱情片的底子了。
[00:04:10.214–00:04:11.148] 明白这个意思吗？
[00:04:12.966–00:04:33.628] 互互相需求，互相圆满，互相弥补的这个作用已经达到了。你前面再烘托一下，他们俩是如何的相遇，如何的你帮助我哇，我帮助你如何的在一次危难的时候，王八曾经救过蝌蚪，然后再一次有人掉来钓王八的时候，蝌蚪还掉。
[00:04:33.766–00:04:36.972] 救我王吧，因为他聪明啊，他看出那是个鱼钩啊。
[00:04:37.830–00:04:39.660] 把他俩这个互相需要。
[00:04:41.126–00:04:44.908] 做出来，观众就马上认为他们俩就天造地设了一双呀。
[00:04:45.574–00:04:49.964] 就是互相弥补呀，然后第一步达到了，第二步开始拉钩。
[00:04:50.854–00:04:52.524] 爱情片嘛拉高了。
[00:04:53.094–00:04:54.476] 就像他俩不能在一块儿。
[00:04:55.494–00:04:56.108] 不能在一块儿。
[00:04:57.286–00:04:59.852] 我们说这个沟壑呀是爱情片的关键。
[00:05:00.966–00:05:05.228] 我不是说过吗？这个这个这个传统的爱情片里面一般都用生死。
[00:05:06.406–00:05:10.188] 阴阳两隔那个最狠了，对吧？在一起得死。
[00:05:12.070–00:05:13.164] 我们这个能做到吗？
[00:05:18.406–00:05:18.892] 可以。
[00:05:19.494–00:05:26.668] 为啥你这跨物种更更简单，他们俩一个是王八，一个是是是是青蛙呀，对吧？
[00:05:27.238–00:05:28.332] 很简单。
[00:05:28.838–00:05:30.508] 王八吃青蛙呀。
[00:05:31.430–00:05:32.396] 甲鱼。
[00:05:33.094–00:05:35.372] 假鱼吃青蛙呀，在池塘里。
[00:05:37.318–00:05:38.028] 你知道吗？
[00:05:38.726–00:05:46.412] 然后甲鱼慢慢的快露出他的本性，他会去捕捉别的青蛙，然后小蝌蚪自己慢慢变成了一只青蛙。
[00:05:46.982–00:05:49.804] 他会发现两个人之间的误会。
[00:05:50.342–00:05:51.148] 城建。
[00:05:51.718–00:05:52.588] 价值观。
[00:05:53.702–00:05:54.892] 区别越来越大。
[00:05:55.974–00:06:00.460] 对吧他会眼睁睁看着这个王八去捕食别的青蛙。
[00:06:04.710–00:06:09.324] 这个王八嘴上再说对他好，他始终没有这个安全感。
[00:06:09.958–00:06:15.532] 他会觉得是个威胁，然后开始挑毛病，开始觉得你歧视我。
[00:06:16.614–00:06:18.540] 你拿我当你生活的附庸而已。
[00:06:20.294–00:06:21.388] 然后两个人开始。
[00:06:21.958–00:06:22.828] 产生了决裂。
[00:06:23.558–00:06:27.756] 然后你如果想加深这个沟来王爸的家人呢？
[00:06:28.326–00:06:31.084] 这个王八这个王八他家里人呢？
[00:06:32.326–00:06:37.100] 他家里人肯定说，哎，这有个现成的游不太动的青蛙吃了呀。
[00:06:37.958–00:06:41.644] 对吧？然后青蛙又听到了，说他们要吃我。
[00:06:43.142–00:06:43.692] 我呢。
[00:06:44.902–00:06:51.020] 游的这么慢，我笨鸟先飞。我知道他们明天要吃我，我今天晚上就走吧，明天再走。
[00:06:52.966–00:07:01.452] 后面蹭了一下，那王八的他脑袋蹭了一下就给你咬过去了。我今天就走吧，所以他不辞而别，那不辞而别。
[00:07:02.438–00:07:05.388] 他就没有听到，其实他的好朋友。
[00:07:06.854–00:07:08.300] 拿命在保护他。
[00:07:09.702–00:07:11.116] 不惜跟家庭决裂。
[00:07:12.774–00:07:16.748] 所以他们俩的沟壑很深的，既关乎生命。
[00:07:17.414–00:07:18.508] 又跨越种族。
[00:07:19.974–00:07:25.836] 你如果围绕着这个沟壑，他们俩之间如何产生误会，如何决裂，如何在在。
[00:07:26.438–00:07:29.388] 在消逢去做的话，那他就是一个。
[00:07:29.894–00:07:30.764] 标准的爱情片。
[00:07:32.038–00:07:40.300] 这就是一个爱情片，小蝌蚪找妈妈就变成了一个爱情片。当然也可以把这个小蝌蚪跟王八的这段爱情。
[00:07:42.150–00:07:42.764] 安在。
[00:07:45.606–00:07:46.188] 金羊毛。
[00:07:46.758–00:07:47.212] 里面。
[00:07:48.518–00:07:51.340] 就他俩一块上路去寻找。
[00:07:53.126–00:07:54.156] 他的身世。
[00:07:54.758–00:07:59.884] 只是把爱情做进去，懂吗？这样二合一这个片子就更强了。
[00:08:01.318–00:08:15.148] 所以爱情片懂了吗？如果是小蝌蚪跟这个王八之间做成爱情，完全可以，当然也可以独立成片，那这个片子就很浪漫。可能这个这个蝌蚪跟王八的爱情就纯爱片子啊，只能吸引女性观众。
[00:08:16.422–00:08:24.236] 强直男是绝对不看的。我跟你说，作为一个直男，我告诉你强直男绝对不看爱情片，什么练练笔记本，哎呀，这去你的吧真。
[00:08:24.838–00:08:26.668] 真的看不下去。
[00:08:28.902–00:08:31.308] 好吧，爱情片明白了吗？
[00:08:32.326–00:08:52.348] 这就叫爱情片，把它做残缺，把做零件，其实就是让观众不停的暗示明示给观众，他那么俩缺一不可天造地设，谁离了谁都不行啊。等观众认可了说，对呀，确实谁离了谁都不行，咔嚓给他俩分开拉一条沟不行，他俩不可能在一块儿。
[00:08:52.486–00:08:58.252] 然后观众就着急了，为什么呢？你看这就是女性观众，对吧？男性观众就他妈耍我呢。
[00:08:59.014–00:09:03.020] 不在一块儿就不在一块吧，重新找一个呗，对吧？男性关女就可以这么想。
[00:09:03.974–00:09:05.516] 你看爱情片明白了吧？
[00:09:07.750–00:09:08.780] 爱镜片啊。
[00:09:09.734–00:09:10.412] 也搞定了。
[00:09:10.886–00:09:13.228] 我们再来看超级英雄片。
[00:09:16.262–00:09:17.548] 小蝌蚪找妈妈。
[00:09:18.950–00:09:20.492] 能不能写成超级英雄片？
[00:09:22.822–00:09:26.188] 超级英称四要素啊，能力命门对手使命。
[00:09:28.038–00:09:31.948] 那他要超级英语边，他至少得是个蝌蚪精啊。
[00:09:32.614–00:09:35.084] 是吧我们说蝌蚪侠。
[00:09:40.550–00:09:41.388] 蝌蚪侠。
[00:09:43.910–00:09:44.460] 蝌蚪侠。
[00:09:46.246–00:09:48.236] 蝌蚪侠呢它具有什么能力呢？
[00:09:49.542–00:09:52.012] 可能基本上的海王那一套他都会啊。
[00:09:52.902–00:10:03.820] 对吧在水里任意的钓起来，水里的这个虾兵蟹将，任意的运用水水的能力还可以水炖，碰到水啪的就。
[00:10:04.518–00:10:06.764] 进去了，他至少得拥有这个能力啊。
[00:10:07.398–00:10:09.164] 对吧拥有这个能力。
[00:10:12.166–00:10:14.540] 你就得有个命门能制约他。
[00:10:15.878–00:10:21.068] 能制约他。比如说这个蝌蚪侠，他有什么命门呢？
[00:10:23.046–00:10:26.252] 最好的最简单、最通俗的命门。
[00:10:27.142–00:10:29.900] 比如说他不能离开水超过。
[00:10:31.302–00:10:32.012] 15分钟。
[00:10:32.966–00:10:36.012] 这样的话你设一个时间锁，你可以经常养发命。
[00:10:36.902–00:10:39.788] 离开水，敌人可以洞悉这个秘密。
[00:10:40.518–00:10:42.956] 对吧因为这个命门需要有一个知情人。
[00:10:45.350–00:10:47.084] 会被对手知道的这件事情。
[00:10:47.942–00:10:48.972] 就是把它。
[00:10:50.822–00:10:52.652] 至于一个完全没有水的环境。
[00:10:53.382–00:10:57.292] 看你怎么办，因为他每隔15分钟要变回原形补一次水。
[00:10:59.014–00:11:01.548] 像这种命门就很好用，因为它可视化。
[00:11:02.214–00:11:15.980] 15分钟多长时间了，对吧？这次蹭的变成那个那个蝌蚪侠去去去去拯救一个小女孩，开始上来先救猫咪嘛。就你别看你是蝌蚪，你也得救猫咪啊，上来先先先救救人什么的。
[00:11:17.606–00:11:19.596] 把这个15分钟这个规则交代一下。
[00:11:20.358–00:11:22.380] 简单设置的话，这个命门就挺好的。
[00:11:22.854–00:11:32.716] 每次变身5分钟吧，比如说每次变身变身5分钟，5分钟一到你就得赶紧补水，要不就就干了，变成葡萄干了。
[00:11:33.862–00:11:37.100] 蝌蚪侠，我们说他有能力了，有命门了。
[00:11:38.182–00:11:39.468] 得给他设置一个对手。
[00:11:42.758–00:11:45.548] 对手我们说是什么来着？旗鼓相当啊。
[00:11:46.310–00:11:49.516] 旗鼓相当必须是旗鼓相当的对手。
[00:11:50.598–00:11:51.692] 那就是王八精呗。
[00:11:52.742–00:11:54.764] 这个王冠君是他的对手。
[00:11:55.430–00:11:57.740] 对吧王大金跟他对着干。
[00:11:59.398–00:12:00.332] 嗯。
[00:12:00.902–00:12:01.740] 这个。
[00:12:03.526–00:12:21.644] 他的使命我们说一个超级英雄之所以称为超级英雄片，它的使命必须是大的，不可能是说是报个丝绸啊，或者是那个呃这个这个两个人因为有点什么事儿有矛盾呀，这这个不可以的这不可以的。
[00:12:23.846–00:12:24.748] 使命。
[00:12:26.310–00:12:27.084] 就是。
[00:12:27.718–00:12:29.100] 他可以用丝绸入手。
[00:12:29.638–00:12:30.380] 比如说他。
[00:12:31.238–00:12:35.276] 小蝌蚪找妈妈嘛，对吧？他发现自己的妈妈。
[00:12:37.382–00:12:38.220] 就是被。
[00:12:38.822–00:12:39.628] 这个王八给。
[00:12:40.102–00:12:40.492] 太了。
[00:12:41.766–00:12:42.860] 被娃娃精给害了。
[00:12:43.398–00:12:50.636] 然后通过去调查这个王八精，进而发现王八精有一个惊天大阴谋。
[00:12:52.006–00:12:53.132] 有一个惊天大阴谋。
[00:12:54.118–00:12:55.020] 比如说他要。
[00:12:55.558–00:12:57.036] 统治整个水产界。
[00:12:59.014–00:13:00.300] 对吧他要。
[00:13:01.350–00:13:03.052] 他要制霸整个水库。
[00:13:04.518–00:13:06.572] 这对于他们来说是整个世界。
[00:13:08.006–00:13:08.908] 那么小蝌蚪。
[00:13:09.382–00:13:12.940] 这蝌蚪精就利用自己的这个能力。
[00:13:14.566–00:13:16.140] 跟他的对手。
[00:13:17.030–00:13:18.060] 展开殊死搏斗。
[00:13:19.558–00:13:21.004] 这就是一个超级英能片。
[00:13:22.118–00:13:22.700] 他。
[00:13:23.174–00:13:26.700] 有能力、有命门，有对手，有使命。这种片子很简单。
[00:13:28.070–00:13:28.588] 很简单。
[00:13:31.078–00:13:31.756] 明白了吧？
[00:13:35.782–00:13:38.348] 我们说小蝌蚪找妈妈可不可以是一个。
[00:13:39.270–00:13:40.172] 鬼屋片呢。
[00:13:41.862–00:13:42.636] 鬼屋片。
[00:13:43.942–00:13:47.148] 股片也有要素啊，有诀窍呀，空间。
[00:13:47.718–00:13:49.612] 力量原罪。
[00:13:50.310–00:13:51.628] 我们现在就来设计这个嘛。
[00:13:52.582–00:13:53.868] 空间很简单啊。
[00:13:54.854–00:13:55.980] 一个小水塘的。
[00:13:56.806–00:14:08.588] 一个封闭的小水塘子，经常有那种啊下雨天的时候，那蝌蚪到处下籽儿啊，那青瓜其到处下籽，然后等干巴了以后，有时候一个轮胎印儿里面就有很多。
[00:14:09.574–00:14:10.732] 那个那个小蝌蚪。
[00:14:11.366–00:14:12.780] 我们说一个小池塘。
[00:14:15.462–00:14:18.732] 嗯没有活水的那种小吃堂，蜂闭的。
[00:14:20.646–00:14:23.468] 一个封闭环境吧，一个封闭空间。
[00:14:24.550–00:14:25.164] 然后。
[00:14:26.918–00:14:27.628] 一个力量。
[00:14:32.390–00:14:35.564] 小蝌蚪不都是溜边吗？在那个。
[00:14:36.326–00:14:43.372] 河燕的那个那个池塘堰的那个草草那里在浅水区。我们说深水区有一个。
[00:14:44.198–00:14:46.092] 有一张黑的嘴。
[00:14:46.694–00:14:47.916] 一直在吃蝌蚪。
[00:14:49.286–00:14:50.316] 一直在吃蝌蚪。
[00:14:52.902–00:14:54.028] 这就是一个力量。
[00:14:55.238–00:14:57.196] 一个空间密闭的空间。
[00:14:57.830–00:15:01.388] 很不大的一个池塘，但是也有浅水区、深水区。
[00:15:02.214–00:15:06.252] 一个神秘力量，深水区有一张血盆大嘴。
[00:15:08.070–00:15:08.524] 在。
[00:15:09.350–00:15:11.308] 吃蝌蚪吃青蛙。
[00:15:12.742–00:15:13.292] 对不对？
[00:15:14.342–00:15:15.052] 原罪。
[00:15:16.262–00:15:31.244] 原锥也简单，小蝌蚪找妈妈吗？小蝌蚪因为调皮，不听妈妈的劝告，非要到深水区里去嘚瑟一下。结果血盆大口突然出现，妈妈为了过来救他，保护他，被血盆大口拽走了。
[00:15:31.750–00:15:32.396] 消失了。
[00:15:33.766–00:15:34.348] 消失了。
[00:15:35.110–00:15:36.556] 咕噜咕噜冒了几个泡。
[00:15:37.446–00:15:37.996] 消失了。
[00:15:41.446–00:15:44.012] 这就符合一个恐怖片，一个鬼屋片。
[00:15:45.478–00:15:46.316] 需要的元素了。
[00:15:47.174–00:15:47.852] 一个。
[00:15:48.966–00:15:49.612] 本来。
[00:15:50.630–00:15:52.204] 欢欢很快乐。
[00:15:53.094–00:15:54.444] 很天真的小蝌蚪。
[00:15:56.358–00:15:58.444] 生活在一个密闭的。
[00:15:59.814–00:16:00.588] 小水塘里。
[00:16:01.190–00:16:04.588] 妈妈千叮咛万嘱父要老老实实溜边。
[00:16:05.254–00:16:08.108] 吃点草，吃点浮游生物。
[00:16:08.582–00:16:14.956] 呃，快快长大离开这个地方，因为在深水区有一张血盆大口。
[00:16:17.862–00:16:21.452] 他没见过这个雪盆大头，他不信呀，调皮呀。
[00:16:22.182–00:16:24.332] 然后非要到深水区去嘚瑟一下。
[00:16:24.870–00:16:27.404] 见识到了这个力量来追杀他。
[00:16:27.910–00:16:33.708] 在非常危机的时刻，他妈妈游过来了，挡在了他跟血盆大口之间。
[00:16:34.214–00:16:36.300] 被血盆大口拽走了。
[00:16:38.214–00:16:41.164] 拽到深水区，咕噜咕噜冒了几个泡。
[00:16:41.894–00:16:42.444] 消失了。
[00:16:44.102–00:16:48.524] 空间力量原罪就是你的原罪，就是你把你妈害了。
[00:16:50.310–00:16:52.076] 你这时候不鼓起勇气去找吗？
[00:16:53.158–00:16:55.148] 一定要去找的一定要去找的。
[00:16:58.918–00:17:01.068] 他经过一夜的痛苦。
[00:17:01.958–00:17:04.332] 第二天踏入了深水区。
[00:17:05.190–00:17:05.996] 去找他吗？
[00:17:07.334–00:17:08.812] 发誓要找到那个血盆大口。
[00:17:10.502–00:17:14.060] 但是肯定也害怕呀，因为他他很娇小的呀。
[00:17:14.598–00:17:19.244] 要躲着在石头缝里躲，对吧？慢慢的摸黑前进。
[00:17:19.910–00:17:21.932] 想想办法找伪装，找隐蔽。
[00:17:23.878–00:17:24.812] 对抗这个。
[00:17:27.014–00:17:29.292] 靠自然的力量那血喷大口。
[00:17:30.150–00:17:32.460] 极有可能还是那只大王吧。
[00:17:33.318–00:17:33.804] 是吧。
[00:17:34.438–00:17:35.180] 鬼屋片。
[00:17:35.718–00:17:36.428] 明白了吗？
[00:17:37.382–00:17:39.084] 就是这么写的，好吧。
[00:17:42.086–00:17:43.148] 我们说真大片。
[00:17:43.654–00:17:44.364] 真他们点。
[00:17:50.822–00:17:52.364] 如果是小蝌蚪找妈妈。
[00:17:52.934–00:17:54.444] 侦探片该怎么设定？
[00:17:55.110–00:17:55.852] 叛秘者。
[00:17:56.774–00:18:07.884] 毫无质疑是小蝌蚪，因为小蝌蚪找妈妈嘛，这个标题就先天带着一股揭秘看蜜的那种感觉。所以主角毫无疑问还是小蝌蚪。
[00:18:08.614–00:18:10.348] 小蝌蚪，那么秘密。
[00:18:10.918–00:18:13.612] 就顺着找妈妈来，谁是你妈妈？
[00:18:16.262–00:18:18.028] 对吧谁是你妈妈？
[00:18:18.822–00:18:19.916] 他有这样的秘密。
[00:18:20.678–00:18:21.612] 他要去探究。
[00:18:22.150–00:18:29.900] 他要么不知道谁是自己的妈妈孤儿，他要么怀疑现在的身世是假的。总之，他作为一个。
[00:18:30.406–00:18:32.812] 探秘者他要探究这个秘密。
[00:18:34.662–00:18:35.372] 谁是我爸？
[00:18:36.582–00:18:38.124] 谁是我嘛？到底谁是我嘛？
[00:18:44.998–00:18:46.316] 最后的自我牺牲。
[00:18:46.950–00:18:49.324] 自我转折自我自我对抗这里。
[00:18:50.246–00:18:50.892] 什么呢？
[00:18:53.862–00:18:54.604] 就是。
[00:18:58.662–00:19:02.412] 这不是一个侦探片吗？就是你找到了你的生母。
[00:19:03.430–00:19:04.396] 同时发现。
[00:19:05.638–00:19:06.380] 他是个坏人。
[00:19:08.294–00:19:09.804] 他是个十恶不赦的人。
[00:19:13.190–00:19:14.124] 那你会怎么选择？
[00:19:15.238–00:19:18.316] 你作为一个警察，你作为这个池塘的警警察。
[00:19:18.918–00:19:21.548] 你你利用你的职务之便。
[00:19:22.182–00:19:24.108] 对吧利用你的职务之便。
[00:19:25.670–00:19:28.748] 侦查凶手，一边侦查凶手，一边找你妈。
[00:19:29.766–00:19:30.764] 但是你发现。
[00:19:33.670–00:19:34.476] 这个凶手。
[00:19:35.142–00:19:35.756] 就是你妈。
[00:19:37.606–00:19:40.812] 这个丧心病狂的女女魔头。
[00:19:41.606–00:19:42.476] 就是你的生命。
[00:19:46.182–00:19:47.436] 他开始连你都想杀。
[00:19:48.070–00:19:50.380] 后来他发现你是他儿子以后。
[00:19:52.326–00:19:52.940] 他跟你。
[00:19:54.342–00:19:55.372] 老母子壳。
[00:19:56.038–00:19:57.804] 对吧让你放他一马。
[00:19:59.174–00:20:00.524] 让你高抬贵手。
[00:20:02.246–00:20:03.980] 他保证以后不打扰你的生活。
[00:20:06.022–00:20:06.892] 放他一条生路。
[00:20:08.870–00:20:09.452] 就是。
[00:20:12.806–00:20:16.556] 我有生你的恩，虽然没有养你的义，对吧？但我有生你的恩。
[00:20:20.102–00:20:23.532] 我们今天也算见着了，母子相见，你放我走。
[00:20:24.742–00:20:26.380] 以后桥归桥路归路。
[00:20:29.094–00:20:30.092] 他作为一个探秘者。
[00:20:31.558–00:20:32.620] 吃到了这个命运。
[00:20:34.502–00:20:35.724] 也找到了自己的母亲。
[00:20:37.798–00:20:38.700] 他这时候应该怎么选？
[00:20:40.902–00:20:42.188] 一定是自我牺牲呀。
[00:20:43.654–00:20:44.300] 一定是。
[00:20:45.638–00:20:46.924] 我终究还是个警察。
[00:20:49.862–00:20:50.636] 亲手。
[00:20:51.398–00:20:52.172] 送他妈妈。
[00:20:54.214–00:20:54.956] 上段投台。
[00:20:59.206–00:21:00.268] 这就是一个侦探片。
[00:21:02.726–00:21:03.884] 他最后要的结果。
[00:21:06.022–00:21:07.820] 就应该是一个很残酷的结果。
[00:21:08.582–00:21:09.996] 让他做出自我牺牲的结果。
[00:21:10.982–00:21:11.468] 凶手。
[00:21:14.534–00:21:16.396] 这么做这个片子起活。
[00:21:17.926–00:21:19.724] 我们来看这一这一排。
[00:21:20.294–00:21:21.004] 这5个。
[00:21:22.182–00:21:23.468] 这5个就比较。
[00:21:24.166–00:21:24.876] 太美了。
[00:21:25.638–00:21:32.588] 我们说每一种类型啊区别不大，有好几个可以直接卡。我说的小人物出大事儿，明白这个意思吗？
[00:21:33.318–00:21:34.700] 但是你要仔细去。
[00:21:35.462–00:21:40.076] 去分呢，仔细去按照呃这个呃呃。
[00:21:40.550–00:21:41.868] 施耐德先生。
[00:21:43.238–00:21:47.212] 提的这种讲故事的分法，分的这种类型也可以。
[00:21:48.422–00:21:56.012] 因为人家毕竟也是大师，明白这个意思吧？我们不要去随便质疑，我们可以保留意见，不要去瞎质疑好吗？
[00:21:57.926–00:21:59.532] 来如愿以偿想。
[00:22:02.598–00:22:07.116] 如愿以偿行有几个元素啊，就是你有一个。
[00:22:08.838–00:22:10.124] 情有共情的愿望。
[00:22:11.206–00:22:12.876] 就大家都能听得懂的怨乎。
[00:22:13.734–00:22:16.972] 然后呢，实现这个愿望是需要有规则的。
[00:22:17.446–00:22:19.148] 也就是说是要有咒语的。
[00:22:20.966–00:22:23.372] 代价的有条件的。
[00:22:24.166–00:22:30.380] 然后最后你通过有条件的实现了你的愿望之后，最后得到一个教训就是。
[00:22:31.814–00:22:36.492] 珍惜眼前人，珍惜当下，现在这样挺好，要什么自行车？
[00:22:37.542–00:22:40.780] 我说了，这就是如愿以偿现电影的基本套路。
[00:22:41.798–00:22:43.404] 那么我们来小蝌蚪。
[00:22:47.078–00:22:50.476] 我们可以搞成穿越嘛，我说穿越片子。
[00:22:51.846–00:22:53.420] 这个这个这个可以是。
[00:22:55.878–00:23:08.140] 大家很很有共情的一个愿望，穿越是很有共情的一个愿望呀。我经常幻想，我要我要是回到我20岁的时候，重新来过，我会走对哪几步，懂我意思吗？
[00:23:09.126–00:23:12.940] 这个共情很强烈的来，那我们就让他穿越。
[00:23:15.654–00:23:16.684] 走穿越路线。
[00:23:18.662–00:23:19.564] 小蝌蚪。
[00:23:23.206–00:23:24.364] 穿越回童年。
[00:23:27.782–00:23:28.716] 穿越回童年。
[00:23:29.542–00:23:31.244] 说当年有一次选择。
[00:23:31.878–00:23:33.484] 对吧比如说。
[00:23:37.542–00:23:41.100] 当年经过一个河岔口的时候。
[00:23:42.086–00:23:44.556] 有一次选择他可以去大海里冒险。
[00:23:45.990–00:23:46.828] 他没有去。
[00:23:49.254–00:23:49.996] 他没有去。
[00:23:50.918–00:23:53.164] 然后你现在让他穿越回童年。
[00:23:55.718–00:23:57.996] 让他实现当当时的愿望。
[00:23:58.822–00:24:02.092] 给他一次重新来过的机会，不管是什么规则啊。
[00:24:02.726–00:24:03.884] 穿越回童年了。
[00:24:05.702–00:24:06.924] 那这就是愿望。
[00:24:07.526–00:24:17.132] 村友会当年少年时吧，少年时的那次选择，他可以呃到大海里去看一看，他错过那次机会了，人生终身遗憾嘛。
[00:24:17.638–00:24:18.796] 让夏洛特烦恼一样。
[00:24:19.270–00:24:22.540] 跟秋雅试一试嘛，他就想跟秋雅试一试嘛。
[00:24:23.078–00:24:25.292] 对吧他觉得自己被马冬梅给耽误了嘛。
[00:24:26.342–00:24:31.276] 来小蝌蚪想去大海里试一试，觉得自己被小池塘给耽误了。
[00:24:33.254–00:24:35.436] 咒语是什么？但设定一个咒语啊。
[00:24:40.038–00:24:40.908] 设定了咒语。
[00:24:44.070–00:24:47.084] 一般的穿越片啊一般设定了什么咒语啊？
[00:24:48.262–00:24:51.532] 就是你不能改变历史的进程。
[00:24:53.766–00:24:54.796] 能，明白这个意思吧？
[00:24:55.398–00:25:00.524] 不能改变历史的进程，经常设这种咒。那我们这个小蝌蚪就。
[00:25:01.158–00:25:02.988] 当时去到大海之后。
[00:25:05.126–00:25:09.804] 就是穿越回去之后，他不是如愿去到大海了吗？如愿去到大海了吗？
[00:25:10.534–00:25:11.276] 然后。
[00:25:15.110–00:25:17.420] 在大海里干扰了历史的进程了。
[00:25:19.302–00:25:23.436] 干扰历史进程大海，比如说当时有个什么比较重要的事儿。
[00:25:25.446–00:25:26.348] 那个。
[00:25:30.022–00:25:31.404] 哪吒闹海比我。
[00:25:32.230–00:25:37.420] 哪吒正好在那跟龙王的三太子干仗。
[00:25:38.470–00:25:40.748] 然后呢，他从那儿过。
[00:25:41.990–00:25:43.500] 把这个事儿给搅了。
