P053 二十七课-剧本的叙事视角27
[00:06:22.054–00:06:23.916] 所以我当然能体会到。
[00:06:25.510–00:06:26.220] 机会的。
[00:06:31.206–00:06:32.044] 同学们，我。
[00:06:33.574–00:06:35.628] 我在上海和北京都飘过。
[00:06:36.230–00:06:39.052] 在中国最大的两个城市当过沪漂和北漂。
[00:06:41.542–00:06:43.852] 我你以为我没有感受过。
[00:06:44.518–00:06:46.892] 世态炎凉，没有感受过。
[00:06:47.366–00:06:50.124] 举目无亲，走投无路的那种感觉吗？
[00:06:51.046–00:06:51.852] 我当然知道。
[00:06:52.518–00:06:53.004] 所以。
[00:06:54.086–00:06:55.212] 我很能体会到。
[00:06:56.006–00:06:57.004] 机会的不容易。
[00:06:57.638–00:06:59.404] 所以尽力的给大家。
[00:07:00.230–00:07:01.196] 创造点机会。
[00:07:02.246–00:07:03.276] 因为生活不容易。
[00:07:03.814–00:07:06.892] 我的生活比你们的生活可能相对容易。
[00:07:08.326–00:07:09.228] 那么我就。
[00:07:09.990–00:07:12.364] 呃，多付出点，多创造点，好不好？
[00:07:12.902–00:07:14.988] 我就是通过学习改变命运的。
[00:07:16.230–00:07:17.644] 我是通过高考。
[00:07:18.214–00:07:18.700] 走出来。
[00:07:19.910–00:07:29.740] 高考肯定也不是公平的啊，我可以负责任的跟大家说，但是高考也是一个改变命运的非常好的机会。因为。
[00:07:30.598–00:07:32.236] 他是可以通过努力。
[00:07:33.126–00:07:33.708] 就能。
[00:07:35.622–00:07:36.108] 实现的。
[00:07:36.966–00:07:38.668] 那咱们现在做做的这个事儿。
[00:07:39.462–00:07:43.404] 学习编剧技巧也是通过努力可以实现的呀。
[00:07:43.942–00:07:45.516] 所以同学们一定要努力学。
[00:07:46.054–00:07:47.116] 至于机会呢。
[00:07:47.910–00:07:54.508] 当然也很重要，机会和机遇呢也很重要。我呢尽量吧，我只能说尽我的能力。
[00:07:55.206–00:07:55.916] 给大家。
[00:07:57.190–00:07:58.060] 多创造一点。
[00:07:59.270–00:08:01.196] 那种心灵鸡汤的书上书啊。
[00:08:01.926–00:08:02.796] 说人的一生。
[00:08:03.846–00:08:08.204] 有三次改变命运的机会是吧，大部分人一一错过了。
[00:08:09.030–00:08:11.052] 只要能抓住一次就怎样呢。
[00:08:11.750–00:08:14.956] 我平常其实挺反对大家。
[00:08:15.782–00:08:16.876] 海心灵鸡汤的。
[00:08:17.510–00:08:19.500] 但是这句话我觉得其实有道理。
[00:08:21.126–00:08:22.316] 我其实回顾我。
[00:08:23.942–00:08:25.132] 快40年的人生。
[00:08:26.118–00:08:30.604] 我也觉得人生啊确实有几个关键的节点可以改变你。
[00:08:33.158–00:08:33.932] 一定要努力。
[00:08:35.846–00:08:36.524] 话又说多了。
[00:08:37.158–00:08:38.284] 不聊这些了，好吧。
[00:08:38.950–00:08:40.268] 总之就是跟大家说。
[00:08:40.934–00:08:46.732] 咱们好好上课，好好学，好好生活，加油好不好？就这意思，赶紧上课啊。
[00:08:47.558–00:08:48.492] 这节课讲啥呢？
[00:08:49.286–00:08:50.220] 这节课呢。
[00:08:50.790–00:08:52.108] 我们就要这个这个这个。
[00:08:52.742–00:08:53.708] 兑现我们。
[00:08:54.214–00:08:56.108] 春节的时候说的，我们要讲点。
[00:08:56.998–00:08:59.500] 更实用更进阶的知识。
[00:09:00.166–00:09:02.092] 今天这节课给大家讲。
[00:09:03.526–00:09:05.260] 叙事视角的问题。
[00:09:06.438–00:09:07.052] 趋事视角。
[00:09:10.886–00:09:11.404] 我们说。
[00:09:13.862–00:09:15.660] 电影是有叙事视角。
[00:09:18.598–00:09:21.324] 就是你一个故事呈现给观众的时候。
[00:09:25.254–00:09:25.996] 是谁在讲？
[00:09:27.878–00:09:30.700] 是你在讲吧，理论上啊是创作者在讲。
[00:09:31.398–00:09:33.100] 那你站在什么位置讲的呢？
[00:09:35.142–00:09:36.332] 你站在那个位置。
[00:09:37.158–00:09:37.900] 就决定了。
[00:09:38.566–00:09:39.724] 你这个故事的视角。
[00:09:41.062–00:09:41.516] 对不对？
[00:09:43.590–00:09:45.004] 所以说电影里面啊。
[00:09:47.430–00:09:48.588] 或明或暗。
[00:09:49.094–00:09:50.572] 是有一个讲述者的。
[00:09:51.110–00:09:54.796] 或者说说是这个整个故事的一个组织者。
[00:09:58.054–00:09:59.116] 这个问题啊。
[00:10:00.134–00:10:01.644] 在过往的教材里面。
[00:10:02.182–00:10:02.956] 是不涉及的。
[00:10:04.038–00:10:05.740] 也就是说，在近些年啊。
[00:10:06.982–00:10:08.940] 才新兴起来的一门学科。
[00:10:09.798–00:10:14.508] 他也是有庞杂的体系的啊，他出现了之后，大家发现我操这个事情确实重要啊。
[00:10:15.110–00:10:16.684] 就开始研究出体系了。
[00:10:17.862–00:10:19.084] 甚至有些过度研究。
[00:10:19.558–00:10:25.100] 过度研究，但是呢也能证明这个玩意儿啊它确实挺重要的。
[00:10:25.702–00:10:30.284] 特别对于现代的叙事，对于当下的电影的发展。
[00:10:31.014–00:10:32.332] 电影的故事的讲述。
[00:10:33.574–00:10:34.284] 确实很重要。
[00:10:35.302–00:10:38.572] 确实值得讲一讲。所以今天咱就讲一讲这个。
[00:10:40.038–00:10:41.132] 在影视作品中。
[00:10:42.342–00:10:43.180] 这个视角问题。
[00:10:45.318–00:10:46.028] 这个视角问题。
[00:10:46.822–00:10:50.220] 当然了，一节课不可能完全都探讨明白。
[00:10:50.694–00:10:56.908] 我们就这节课算是一个概述吧。好吧，我希望你通过这节课以后在这方面。
[00:10:58.022–00:10:59.500] 心里做到心里有数。
[00:11:01.766–00:11:04.044] 首先我们说那这个视角。
[00:11:05.446–00:11:09.260] 不太好理解，对吧？我们先从好理解的下手。
[00:11:10.054–00:11:11.756] 同学们都喜欢看小说是吧？
[00:11:12.838–00:11:13.804] 小说。
[00:11:14.470–00:11:16.908] 里面的视角是比较明确的。
[00:11:17.478–00:11:20.652] 我们都知道写小说有两种视角可以选。
[00:11:21.606–00:11:22.508] 一种叫。
[00:11:26.150–00:11:27.116] 叫第三人称。
[00:11:27.654–00:11:29.484] 是吧一种叫。
[00:11:30.022–00:11:30.764] 第一人称。
[00:11:32.486–00:11:34.380] 就有这两种视角的小说。
[00:11:35.238–00:11:37.324] 第三人称啥叫第三人称？
[00:11:37.798–00:11:38.348] 他呀。
[00:11:38.982–00:11:40.556] 或者说直呼姓名嘛。
[00:11:41.094–00:11:44.364] 那个谁谁谁怎么样怎么样，哎，咱们就说。
[00:11:44.902–00:11:48.524] 胡八一怎样怎样，王胖子怎样怎样。
[00:11:49.478–00:11:52.428] 希尔里昂怎样怎样对吧？鬼吹灯。
[00:11:53.638–00:11:55.852] 然后第一视角呢，那就是我。
[00:11:58.566–00:12:02.444] 同样是鬼吹灯，鬼吹灯其实就是第一式第一人称写的嘛。
[00:12:03.302–00:12:06.348] 他用那个胡八一的视角嘛来。
[00:12:06.886–00:12:10.732] 我今天经历了什么事儿？然后我看到王胖子。
[00:12:11.398–00:12:16.332] 这个死胖子这样怎样这样，哎呦，十里阳款款走来，真他妈好看。
[00:12:18.086–00:12:19.308] 第一人称视角。
[00:12:20.294–00:12:21.484] 这就是小说。
[00:12:22.918–00:12:23.596] 经常用的。
[00:12:24.870–00:12:25.516] 两种视角。
[00:12:27.526–00:12:28.620] 它有什么区别呢？
[00:12:29.894–00:12:30.860] 第三人称。
[00:12:31.718–00:12:32.780] 他实际上。
[00:12:33.958–00:12:38.700] 是一个讲述视角，你发没发现？就我给你讲个故事啊。
[00:12:39.270–00:12:42.700] 从前有个什么样的山，山上有个什么样的和尚？
[00:12:43.558–00:12:45.388] 山下又有一个什么样的。
[00:12:45.862–00:12:51.724] 对吧尼姑你知辈说山下为什么有尼姑？反正就是给你讲讲述一个故事。
[00:12:52.198–00:12:53.132] 方方面面吧。
[00:12:53.702–00:12:55.404] 方方面面，而且呢。
[00:12:55.910–00:12:58.028] 其实是相对传统的一种讲法。
[00:12:58.630–00:12:59.308] 你有没有发现？
[00:12:59.942–00:13:01.228] 就是说过去的小说啊。
[00:13:01.958–00:13:05.004] 至少中国古代所有的小说都是第三人车。
[00:13:08.134–00:13:10.380] 而第一人称啊相对比较新。
[00:13:10.982–00:13:11.884] 比较现代。
[00:13:13.254–00:13:15.564] 的一种手法，他就不是讲述了。
[00:13:16.934–00:13:17.580] 他是。
[00:13:19.846–00:13:20.716] 展示。
[00:13:21.510–00:13:23.564] 来吧，展示是吧？
[00:13:24.198–00:13:24.716] 因为。
[00:13:25.638–00:13:28.044] 他直接是通过故事中的一个人物。
[00:13:28.710–00:13:34.572] 带着你去经历，那他可不就是展示嘛？就我看到啥，我就告诉你啊，我听到啥我也告诉你。
[00:13:35.078–00:13:40.396] 我感受的啥，我也告诉你，我经历啥，我告诉你，你跟着他一块就完事儿了。
[00:13:41.158–00:13:42.476] 这就是来吧，展示。
[00:13:43.270–00:13:44.620] 这种手法呢比较现代。
[00:13:45.126–00:13:46.572] 这种手法呢比较传统。
[00:13:47.558–00:13:49.324] 这就是小说的。
[00:13:51.142–00:13:52.748] 两种叙事视角。
[00:13:53.926–00:13:55.660] 我们说电影的叙事视角啊。
[00:13:56.710–00:13:57.996] 比小说是要复杂的。
[00:13:58.726–00:13:59.436] 但是呢。
[00:13:59.910–00:14:01.068] 也没有跳出。
[00:14:02.502–00:14:03.340] 这个框框。
[00:14:04.230–00:14:05.004] 这个框框。
[00:14:06.374–00:14:09.452] 在电影的叙事视角里面，我们先说。
[00:14:10.566–00:14:13.612] 基本理论好吧，在电影的叙事视角里面。
[00:14:14.086–00:14:15.372] 也有第三人称视角。
[00:14:16.230–00:14:17.004] 也就是说。
[00:14:17.830–00:14:19.820] 方方面面给你讲述的这种视角。
[00:14:20.518–00:14:21.132] 我们叫。
[00:14:21.734–00:14:22.412] 全职视角。
[00:14:24.230–00:14:24.908] 全是视角。
[00:14:25.510–00:14:26.028] 然后。
[00:14:26.630–00:14:27.084] 这种。
[00:14:27.878–00:14:31.436] 给你直接来吧展示的这种视角呢，我们叫限制视角。
[00:14:34.310–00:14:35.052] 限制视角。
[00:14:35.974–00:14:37.996] 前肢视角也叫。
[00:14:38.662–00:14:39.468] 无视角。
[00:14:44.134–00:14:45.420] 还有个更通俗的词儿。
[00:14:46.278–00:14:47.020] 上帝视角。
[00:14:49.286–00:14:58.284] 这个更好理解对不对？这个更好理解吧，上帝视角呀，你是上帝呀，讲述者是上帝，哎呀哎呀低头看着芸芸众生哎。
[00:14:58.822–00:15:04.588] 你看啊这有个山，山还有一个和尚，哎，这和尚你看啊表面上跟师傅在那。
[00:15:05.158–00:15:07.052] 这个这个敲木语念经。
[00:15:08.038–00:15:24.844] 一本正经呢，实际上惦记着山下的小尼姑。然后呢，这个这个呃花开两朵，咱们各表一枝，这边咱们按下不表，我们看看小尼姑在干什么。小尼姑呢，虽然跟山上的和尚有点什么事儿，但是呢其实跟村里的谁谁唉就。
[00:15:26.918–00:15:29.100] 这你看这就是上帝视角，你啥都知道。
[00:15:30.342–00:15:31.244] 你啥都知道。
[00:15:31.782–00:15:37.868] 所以你可不就是讲述嘛，所以这种全真视角对应的其实是小说中的所谓的第三人称。
[00:15:38.886–00:15:40.364] 也就是上帝视角。
[00:15:41.254–00:15:46.380] 这是电影叙事的第一种视角。然后电影叙事的限制视角。
[00:15:46.854–00:15:47.596] 也就是。
[00:15:48.070–00:15:51.500] 直接对应第一人称吗？其实并不是它有两种。
[00:15:52.454–00:15:56.844] 限制视角呢分两种，一种对应第一人称，我们叫他。
[00:15:59.078–00:15:59.724] 内视角。
[00:16:03.590–00:16:04.172] 内视角。
[00:16:04.646–00:16:23.532] 类似角也就是说叙事者叙事视角。我们说电影我们其实找的是叙事者嘛，对吧？叙事者的位置嘛，其实就是你的位置，咱们大家都是编剧，咱们就不见外了啊，咱们就不叫叙事者了，咱们就叫你。
[00:16:24.070–00:16:25.036] 就你站在哪？
[00:16:26.502–00:16:28.524] 全真视角，你就是站在。
[00:16:31.366–00:16:31.980] 上地位的。
[00:16:33.190–00:16:35.980] 你开天眼啊，我们讲你开天眼的吗？
[00:16:36.870–00:16:37.484] 那么。
[00:16:38.662–00:16:44.876] 你选择把哪些告诉观众，哪些不告诉观众，你选择随意的揉搓信息，对吧？
[00:16:45.798–00:16:47.948] 那么其实你的是你的。
[00:16:48.614–00:16:49.644] 就是你。
[00:16:50.662–00:16:51.404] 大于。
[00:16:52.998–00:16:53.516] 人物。
[00:16:54.278–00:16:57.356] 对不对？你比下面芸芸众生知道的都多。
[00:16:58.534–00:16:59.180] 你大于人物。
[00:16:59.942–00:17:05.676] 然后呢，限制视角的所谓的内视角，其实也就是对应的第一人称叙事。
[00:17:07.078–00:17:08.204] 在这种情况下。
[00:17:09.190–00:17:11.052] 叙事者，也就是你。
[00:17:11.782–00:17:12.428] 等于这。
[00:17:14.150–00:17:14.700] 等于0。
[00:17:16.742–00:17:17.676] 去事者等于人。
[00:17:21.638–00:17:22.220] 理解了。
[00:17:23.142–00:17:24.364] 就是叙事者呀。
[00:17:24.998–00:17:26.636] 你附着在某个人物身上。
[00:17:27.270–00:17:29.484] 你跟着胡八一一块经历这些事儿。
[00:17:32.166–00:17:35.180] 你看到啥就是啥，你听到啥就是啥。
[00:17:36.774–00:17:41.004] 痛苦着你的痛苦，悲伤着你的悲伤啊，对吧？有首歌不是这么唱的吗？
[00:17:41.702–00:17:44.620] 所以说内视角那显然就是在故这个故事内嘛。
[00:17:45.670–00:17:50.380] 内视角也叫内聚焦啊，在这个故事内附着在某个人物上。
[00:17:51.590–00:17:52.524] 附着在某个人物上。
[00:17:53.286–00:17:54.508] 一般来说是主角。
[00:17:55.430–00:17:57.420] 我们在讲人物的时候讲过这个问题啊。
[00:17:58.054–00:18:01.964] 说人物和观众的关系，说人物拉小车啊，拉着。
[00:18:02.598–00:18:03.372] 咱们的观众走。
[00:18:04.134–00:18:10.444] 那么观众的视角岂不是就是跟你这个人物是相等的吗？你们俩一块听一块儿看。
[00:18:12.070–00:18:15.852] 所以说这就是内视角，然后在电影叙事中。
[00:18:16.422–00:18:20.588] 他们在理论上又提炼出了第三种视角。
[00:18:21.414–00:18:22.188] 脚外视角。
[00:18:25.542–00:18:26.156] 在外视角。
[00:18:28.102–00:18:35.532] 那这个是你叙事者大于人物，这个是叙事者等于人物。很显然，那这个外触角就是叙事者小于人物。
[00:18:37.222–00:18:38.508] 趋事者小于任物。
[00:18:40.358–00:18:41.516] 这个怎么去理解呢？
[00:18:42.310–00:18:43.372] 我们这么去理解。
[00:18:44.518–00:18:45.644] 在内视角里面。
[00:18:47.430–00:18:50.540] 叙事者等于人物。也就是说叙事者是拟人。
[00:18:54.342–00:18:57.644] 他是有灵魂，有思维，有温度的。
[00:18:58.310–00:18:58.924] 最起码。
[00:19:00.294–00:19:04.588] 那么所谓的外视角，其实就是叙事者不是人。
[00:19:07.910–00:19:09.516] 就是这个视角不是个人呐。
[00:19:10.150–00:19:13.932] 他只是客观的存在在这个事件当中。
[00:19:16.102–00:19:17.420] 他冷眼看世界。
[00:19:18.086–00:19:18.924] 他不投入。
[00:19:21.830–00:19:22.956] 那他所知道的。
[00:19:23.942–00:19:26.828] 他的视角小于人物是什么意思？他知道的比人物少。
[00:19:27.494–00:19:39.596] 他有时候没太看明白是怎么回事，他就看闹闹哄哄的这群人都在干什么，表象上都在干什么，我不去探究你们的内心，因为我也没有能力探究你的内心，因为我不是人。
[00:19:41.766–00:19:43.084] 咱们因为是影视嘛。
[00:19:43.878–00:19:46.508] 你可以理解为我就是个摄像机。比如说。
[00:19:48.134–00:19:50.732] 我是个冷酷的摄像机，我只管记录。
[00:19:51.494–00:19:51.980] 对吧。
[00:19:52.582–00:19:54.252] 你们到底是怎么回事呢？
[00:19:54.822–00:19:55.788] 我不去。
[00:19:56.518–00:19:59.948] 干涉因为我也没有能力干涉，我不去猜测。
[00:20:00.582–00:20:01.644] 我也不去假定。
[00:20:03.046–00:20:06.412] 所以说外视角叙事者是小于任务的。
[00:20:07.782–00:20:10.700] 这就是电影叙事视角的。
[00:20:11.334–00:20:14.220] 三个基本分类不是很好理解，对吧？
[00:20:14.982–00:20:18.188] 光说定义啊，光说知识啊很干涩。
[00:20:18.950–00:20:22.956] 咱们在以前的课程中啊，一般尽量避免直接说知识。
[00:20:23.558–00:20:24.172] 我们来。
[00:20:25.862–00:20:29.068] 探究一下他们的区别，他们的优劣。
[00:20:29.798–00:20:30.508] 他们的特点。
[00:20:32.358–00:20:32.716] 来。
[00:20:33.254–00:20:34.252] 全职视角。
[00:20:35.526–00:20:36.428] 有什么优点？
[00:20:36.998–00:20:37.644] 我们来看一下。
[00:20:42.310–00:20:43.212] 很显然啊。
[00:20:43.814–00:20:44.652] 全职视角。
[00:20:46.374–00:20:47.884] 因为你站在上帝的角度。
[00:20:48.678–00:20:49.900] 首先你是比较客观。
[00:20:52.038–00:20:53.196] 你不偏不倚啊。
[00:20:53.734–00:21:00.396] 你对不你没有带入主角或者代入某一个角色，你还是比较客观的。
[00:21:00.998–00:21:04.204] 另外呢，你掌握的资讯比较全面。
[00:21:05.190–00:21:06.284] 你动心一切呀。
[00:21:07.750–00:21:10.796] 这边我们的主角还在家睡觉呢。
[00:21:12.774–00:21:15.148] 对手那个大坏蛋已经提着刀在路上。
[00:21:16.070–00:21:16.812] 你看见。
[00:21:18.054–00:21:19.340] 是吧你洞悉一切。
[00:21:20.038–00:21:22.092] 所以呢你的叙事比较全面。
[00:21:23.846–00:21:24.940] 比较客观。
[00:21:27.174–00:21:29.228] 然后呢比较自由。
[00:21:30.150–00:21:31.564] 比较自由的叙事呀。
[00:21:32.230–00:21:34.860] 你很好发挥，你想写哪写哪。
[00:21:35.526–00:21:36.780] 想描写谁描写谁。
[00:21:37.382–00:21:39.244] 而且还可以多线索虚事。
[00:21:40.582–00:21:42.028] 多线索多线趋势。
[00:21:42.662–00:21:43.436] 这不就是。
[00:21:44.486–00:21:45.932] 上帝视角的优点吧。
[00:21:47.462–00:21:53.548] 这就是上帝视角的优点。同样啊，我们说你看在小说里面，我们说第三人称是比较传统的。
[00:21:54.150–00:21:57.260] 第一人称是比较现代的，在电影里面也是这样。
[00:21:58.118–00:22:01.868] 全职视角，也就是所谓的上帝视角是比较传统的。
[00:22:05.446–00:22:06.604] 你看到过的。
[00:22:07.974–00:22:08.972] 大部分的骗子。
[00:22:09.958–00:22:10.860] 大部分的电影。
[00:22:12.006–00:22:13.164] 大部分的影视。
[00:22:13.638–00:22:14.636] 电影电视剧。
[00:22:15.110–00:22:15.948] 都是全职视角。
[00:22:18.982–00:22:19.436] 大部分。
[00:22:22.182–00:22:24.652] 举例子的话，当然也很好举啊，太多了。
[00:22:25.286–00:22:26.092] 不是枚举。
[00:22:29.830–00:22:32.300] 我们就说春节档吧，唐探这种。
[00:22:32.934–00:22:36.684] 对吧这边在干什么，那边在干什么，警察在干什么？
[00:22:37.414–00:22:39.084] 宝强和那个谁在干什么？
[00:22:40.678–00:22:41.580] 日是上帝视角。
[00:22:43.558–00:23:01.036] 或者这么说吧，举例子咱不用举，你看看你写的肯定是上帝视角，你自己看一看，你自己看一看你写的，你看一看就知道啥叫上帝视角了。你就是你写的就是你写的就是你放心吧，没跑。
[00:23:01.830–00:23:02.220] 对吧。
[00:23:03.014–00:23:03.468] 好吧。
[00:23:04.742–00:23:06.252] 这就是上帝视角的特点。
[00:23:07.334–00:23:10.220] 我们说来内视角有什么特点？
[00:23:10.982–00:23:13.356] 我们说上级视角那些优点。
[00:23:13.958–00:23:15.148] 他肯定就不具备了。
[00:23:15.846–00:23:18.348] 他肯定就不具备吧，他有自己的优点。
[00:23:18.982–00:23:22.636] 内视角啊，你等于人物，那你肯定就不客观了。
[00:23:23.174–00:23:28.556] 你不客观的话，你主观呀你主观主观又不是贬义词呀，主观有什么优点？
[00:23:29.542–00:23:30.764] 感情浓烈呀。
[00:23:31.366–00:23:32.396] 共情强呀。
[00:23:32.998–00:23:35.372] 你跟主角是命运共同体呀。
[00:23:35.910–00:23:38.668] 我们说你悲伤，他的悲伤忧伤，他的忧伤嘛。
[00:23:40.550–00:23:41.900] 感情浓烈。
[00:23:42.758–00:23:43.532] 而且呢。
[00:23:44.294–00:23:50.348] 我们说全职视角呃这个这个这个多线叙事很全面。那你。
